Time (ns),ORF2,ORF2,ORF2_nomn,ORF2_nomn
13.3,1.64997,1.65143,1.64168,1.63679
13.4,1.64829,1.64799,1.64671,1.63148
13.5,1.64165,1.6547,1.64301,1.63623
13.6,1.6455,1.65627,1.6441,1.6338
13.7,1.64824,1.64958,1.64467,1.63536
13.8,1.65132,1.65066,1.6459,1.63532
13.9,1.64417,1.65718,1.64329,1.63279
14,1.64335,1.65161,1.64405,1.63604
14.1,1.64992,1.65266,1.63535,1.63067
14.2,1.64729,1.64807,1.64147,1.62512
14.3,1.64282,1.64154,1.64823,1.63497
14.4,1.6449,1.654,1.64427,1.63618
14.5,1.64185,1.64257,1.64243,1.63851
14.6,1.64725,1.63962,1.64483,1.63654
14.7,1.64918,1.64351,1.64498,1.6358
14.8,1.64903,1.64478,1.64974,1.63691
14.9,1.64295,1.64456,1.64623,1.63808
15,1.64608,1.64917,1.65295,1.63928
15.1,1.64183,1.64608,1.64439,1.63869
15.2,1.64729,1.6468,1.64261,1.63239
15.3,1.64933,1.64703,1.65004,1.63993
15.4,1.64233,1.65256,1.64946,1.6429
15.5,1.64232,1.6499,1.63969,1.6356
15.6,1.64645,1.64492,1.64089,1.63774
15.7,1.643,1.64943,1.64389,1.6382
15.8,1.64301,1.64164,1.64508,1.63876
15.9,1.64634,1.6427,1.63465,1.63851
16,1.64385,1.64783,1.63999,1.6287
16.1,1.6382,1.64975,1.64431,1.6324
16.2,1.63987,1.64959,1.64452,1.6304
16.3,1.64645,1.64749,1.64182,1.6348
16.4,1.64216,1.64751,1.64338,1.63535
16.5,1.64312,1.64806,1.64088,1.63919
16.6,1.64607,1.64716,1.64454,1.63806
16.7,1.63585,1.64889,1.64422,1.62784
16.8,1.64175,1.64509,1.64384,1.63037
16.9,1.64054,1.64006,1.64521,1.63589
17,1.64468,1.63782,1.64544,1.63147
17.1,1.64695,1.64594,1.64583,1.63117
17.2,1.63548,1.64921,1.64267,1.62654
17.3,1.63912,1.64475,1.65038,1.62553
17.4,1.64039,1.64153,1.65166,1.62869
17.5,1.64347,1.64213,1.64776,1.62796
17.6,1.64538,1.63934,1.65042,1.638
17.7,1.64052,1.6422,1.64986,1.63342
17.8,1.64171,1.63978,1.64185,1.6363
17.9,1.64166,1.64535,1.64481,1.62766
18,1.64286,1.64528,1.64599,1.62674
18.1,1.64302,1.65365,1.64874,1.6363
18.2,1.64228,1.64491,1.64329,1.63872
18.3,1.64594,1.65348,1.65458,1.63537
18.4,1.64421,1.64184,1.64729,1.63866
18.5,1.64242,1.65212,1.64168,1.62764
18.6,1.64159,1.64789,1.64803,1.6329
18.7,1.64149,1.65233,1.64183,1.63277
18.8,1.63925,1.64556,1.648,1.62356
18.9,1.64814,1.65219,1.64577,1.62626
19,1.64843,1.64926,1.64623,1.63141
19.1,1.64565,1.64734,1.64738,1.63035
19.2,1.6442,1.65252,1.64405,1.63069
19.3,1.64669,1.65326,1.64436,1.63532
19.4,1.64473,1.64801,1.64586,1.63578
19.5,1.63979,1.64953,1.64378,1.63073
19.6,1.6407,1.64466,1.65003,1.63325
19.7,1.63804,1.64599,1.64308,1.64141
19.8,1.64661,1.6549,1.63587,1.6355
19.9,1.64236,1.64747,1.6456,1.63807
20,1.64348,1.64599,1.64069,1.63327
20.1,1.63855,1.63807,1.64054,1.62985
20.2,1.6421,1.65339,1.64345,1.64276
20.3,1.64143,1.6476,1.63779,1.63889
20.4,1.6413,1.64058,1.64306,1.63511
20.5,1.64066,1.64376,1.64377,1.62796
20.6,1.64724,1.64863,1.63644,1.6353
20.7,1.64145,1.64353,1.63856,1.62882
20.8,1.64301,1.6474,1.63973,1.63801
20.9,1.63472,1.64572,1.63583,1.63924
21,1.6315,1.65042,1.63522,1.6375
21.1,1.6392,1.64103,1.64032,1.64423
21.2,1.64205,1.64882,1.64291,1.63949
21.3,1.63375,1.65229,1.64578,1.63605
21.4,1.64209,1.64722,1.64738,1.64034
21.5,1.63814,1.64485,1.65002,1.63669
21.6,1.63922,1.64888,1.64371,1.63442
21.7,1.63681,1.64503,1.64214,1.6334
21.8,1.643,1.64463,1.63827,1.63835
21.9,1.64891,1.63448,1.64128,1.63327
22,1.6518,1.64326,1.64225,1.63653
22.1,1.64581,1.64976,1.63399,1.63558
22.2,1.63565,1.652,1.63435,1.63637
22.3,1.64349,1.64479,1.64145,1.63228
22.4,1.6397,1.64353,1.63939,1.63437
22.5,1.64028,1.64937,1.63502,1.63277
22.6,1.64013,1.64638,1.63557,1.63378
22.7,1.64181,1.65426,1.63878,1.62911
22.8,1.64082,1.64349,1.63611,1.63769
22.9,1.64208,1.6453,1.63932,1.63442
23,1.63811,1.65224,1.63026,1.63018
23.1,1.63571,1.64443,1.63266,1.63442
23.2,1.64302,1.64945,1.63512,1.62956
23.3,1.6394,1.64638,1.63305,1.62922
23.4,1.633,1.64374,1.63439,1.63506
23.5,1.63628,1.64454,1.64001,1.63613
23.6,1.64537,1.64733,1.63708,1.62905
23.7,1.63994,1.64252,1.63331,1.64184
23.8,1.64185,1.64732,1.63468,1.63061
23.9,1.64162,1.64212,1.63879,1.63313
24,1.63699,1.65027,1.64328,1.63357
24.1,1.64514,1.64727,1.6401,1.63555
24.2,1.64902,1.64309,1.63923,1.63868
24.3,1.64482,1.63986,1.64111,1.62963
24.4,1.6409,1.64939,1.63708,1.64118
24.5,1.6458,1.64708,1.63325,1.63592
24.6,1.64094,1.64156,1.64252,1.63764
24.7,1.63668,1.6502,1.6332,1.63831
24.8,1.63954,1.64091,1.63366,1.63596
24.9,1.64401,1.64803,1.63436,1.63065
25,1.63819,1.64671,1.63151,1.63598
25.1,1.6374,1.64118,1.63328,1.6318
25.2,1.64191,1.64617,1.63438,1.63781
25.3,1.63961,1.64314,1.63477,1.63994
25.4,1.6397,1.64552,1.63286,1.63207
25.5,1.64217,1.6495,1.64006,1.63845
25.6,1.6403,1.64969,1.63317,1.63648
25.7,1.64114,1.64934,1.63398,1.63669
25.8,1.63589,1.64658,1.64548,1.63366
25.9,1.64212,1.64869,1.64239,1.64013
26,1.64221,1.64886,1.64374,1.62864
26.1,1.64346,1.64776,1.64195,1.628
26.2,1.63869,1.64893,1.63802,1.63337
26.3,1.64211,1.64231,1.64152,1.63616
26.4,1.6432,1.64973,1.63809,1.63275
26.5,1.63886,1.64509,1.63976,1.62702
26.6,1.63819,1.64403,1.63951,1.62337
26.7,1.64627,1.64868,1.6429,1.62675
26.8,1.64181,1.64559,1.6428,1.62629
26.9,1.63982,1.64571,1.64293,1.63329
27,1.64264,1.64809,1.63321,1.63152
27.1,1.64006,1.63772,1.63777,1.6318
27.2,1.64084,1.64028,1.63777,1.63842
27.3,1.65156,1.65126,1.64263,1.62856
27.4,1.64021,1.65105,1.63577,1.63503
27.5,1.64483,1.65124,1.64628,1.63199
27.6,1.64117,1.64981,1.65188,1.63008
27.7,1.64189,1.65067,1.64121,1.63247
27.8,1.64732,1.65084,1.64477,1.63115
27.9,1.64192,1.65239,1.64707,1.63726
28,1.63751,1.65356,1.64742,1.63823
28.1,1.6392,1.65205,1.64311,1.63876
28.2,1.64044,1.65318,1.64635,1.63358
28.3,1.64229,1.6506,1.64407,1.63619
28.4,1.6455,1.64848,1.63865,1.63477
28.5,1.64808,1.65155,1.63842,1.62787
28.6,1.64379,1.65077,1.64871,1.63307
28.7,1.64434,1.65215,1.64226,1.62972
28.8,1.6469,1.64888,1.64626,1.63261
28.9,1.63526,1.64981,1.64793,1.62639
29,1.64066,1.64327,1.65131,1.62655
29.1,1.63346,1.64517,1.64139,1.63422
29.2,1.63171,1.65163,1.64107,1.63489
29.3,1.63926,1.65316,1.645,1.63312
29.4,1.63771,1.65672,1.64571,1.63325
29.5,1.63916,1.65002,1.64944,1.62938
29.6,1.6393,1.65221,1.65096,1.62868
29.7,1.63854,1.64892,1.64626,1.62848
29.8,1.63832,1.65167,1.6494,1.62989
29.9,1.64219,1.64418,1.63881,1.63249
30,1.64009,1.64804,1.64269,1.63237
30.1,1.64126,1.65328,1.64988,1.63492
30.2,1.63627,1.64717,1.64172,1.6281
30.3,1.63541,1.64255,1.64131,1.63037
30.4,1.63855,1.65064,1.63957,1.63197
30.5,1.63713,1.64987,1.64673,1.63207
30.6,1.63508,1.64766,1.64854,1.63025
30.7,1.64593,1.64803,1.65076,1.63394
30.8,1.63512,1.64692,1.64166,1.62785
30.9,1.62887,1.653,1.63873,1.62377
31,1.63463,1.64781,1.6467,1.63113
31.1,1.63541,1.64795,1.64298,1.63201
31.2,1.64063,1.6531,1.64776,1.63199
31.3,1.63736,1.65146,1.64168,1.63139
31.4,1.63073,1.65419,1.64412,1.63166
31.5,1.63647,1.64818,1.64647,1.63085
31.6,1.64453,1.65239,1.64732,1.63133
31.7,1.6376,1.64994,1.65069,1.63723
31.8,1.63899,1.64845,1.64801,1.63924
31.9,1.64755,1.65092,1.63891,1.63256
32,1.64258,1.6448,1.6481,1.63302
32.1,1.63969,1.64743,1.64444,1.62956
32.2,1.64228,1.64198,1.65091,1.62846
32.3,1.64474,1.64806,1.64861,1.6348
32.4,1.64674,1.63859,1.6454,1.63459
32.5,1.64492,1.64862,1.64058,1.64612
32.6,1.64262,1.64909,1.64645,1.62923
32.7,1.64009,1.64309,1.64681,1.6384
32.8,1.64058,1.64156,1.6433,1.63611
32.9,1.64295,1.64658,1.64458,1.63659
33,1.64018,1.6445,1.64335,1.64162
33.1,1.64297,1.6521,1.6475,1.63068
33.2,1.6387,1.6439,1.64477,1.6319
33.3,1.64405,1.64993,1.64157,1.63261
33.4,1.6492,1.64373,1.64125,1.63625
33.5,1.64593,1.64765,1.63645,1.64135
33.6,1.64577,1.64578,1.63491,1.64214
33.7,1.64217,1.64598,1.63588,1.64174
33.8,1.64316,1.64005,1.63364,1.63537
33.9,1.64505,1.64312,1.63397,1.63846
34,1.64152,1.64889,1.63902,1.63876
34.1,1.64015,1.64671,1.63444,1.62893
34.2,1.64777,1.64745,1.6294,1.6285
34.3,1.64638,1.64491,1.64487,1.6317
34.4,1.63938,1.64518,1.64067,1.6269
34.5,1.64179,1.64625,1.6464,1.63581
34.6,1.64595,1.64218,1.64003,1.63361
34.7,1.64603,1.6444,1.64201,1.63514
34.8,1.64688,1.63969,1.64441,1.63577
34.9,1.63802,1.64077,1.64804,1.63631
35,1.64411,1.6394,1.63894,1.6305
35.1,1.64927,1.6446,1.64329,1.63149
35.2,1.64369,1.64699,1.63443,1.63424
35.3,1.64446,1.65187,1.63735,1.63354
35.4,1.64253,1.64951,1.64478,1.63368
35.5,1.64538,1.64479,1.644,1.62695
35.6,1.63917,1.64958,1.649,1.63821
35.7,1.64142,1.64547,1.6446,1.6322
35.8,1.64379,1.64833,1.64822,1.62959
35.9,1.64529,1.63905,1.64748,1.63292
36,1.63785,1.64672,1.64161,1.63821
36.1,1.64643,1.64102,1.64308,1.63547
36.2,1.64005,1.63871,1.64011,1.63394
36.3,1.64361,1.6482,1.63774,1.63216
36.4,1.64098,1.6481,1.64233,1.63821
36.5,1.63649,1.65025,1.6381,1.63337
36.6,1.63979,1.64715,1.6422,1.63674
36.7,1.64771,1.64575,1.6411,1.63631
36.8,1.63893,1.63957,1.63587,1.64012
36.9,1.63922,1.64304,1.64169,1.63912
37,1.64321,1.64118,1.64813,1.63495
37.1,1.63931,1.64043,1.64081,1.63429
37.2,1.64416,1.63968,1.63669,1.62873
37.3,1.64543,1.63985,1.63841,1.6353
37.4,1.64012,1.64744,1.65158,1.63901
37.5,1.64209,1.64554,1.64439,1.64388
37.6,1.63816,1.63764,1.64323,1.63332
37.7,1.64302,1.64006,1.64609,1.65088
37.8,1.64398,1.63896,1.64717,1.64264
37.9,1.64531,1.64032,1.6336,1.62912
38,1.64309,1.64677,1.64078,1.63953
38.1,1.63961,1.64666,1.64144,1.64169
38.2,1.64341,1.63981,1.63975,1.636
38.3,1.6446,1.64705,1.64246,1.63751
38.4,1.63909,1.64654,1.63789,1.63909
38.5,1.63595,1.64037,1.63614,1.63152
38.6,1.63769,1.6464,1.63919,1.63711
38.7,1.6438,1.64293,1.6432,1.63458
38.8,1.64393,1.63866,1.64475,1.63179
38.9,1.6435,1.64039,1.64577,1.62665
39,1.63976,1.63907,1.64152,1.63128
39.1,1.64306,1.64029,1.63821,1.63142
39.2,1.63808,1.64544,1.63976,1.63625
39.3,1.63799,1.64603,1.64204,1.63432
39.4,1.64279,1.6437,1.63808,1.63243
39.5,1.64277,1.64785,1.63853,1.63342
39.6,1.64939,1.64859,1.64095,1.6413
39.7,1.63634,1.65365,1.6432,1.63783
39.8,1.63933,1.65039,1.6399,1.63741
39.9,1.64475,1.63663,1.64253,1.6391
40,1.64493,1.64063,1.64596,1.63799
40.1,1.63442,1.64529,1.64272,1.63203
40.2,1.64275,1.64797,1.6452,1.62803
40.3,1.64265,1.64083,1.64504,1.63033
40.4,1.63982,1.64671,1.64305,1.629
40.5,1.64865,1.64685,1.65062,1.63972
40.6,1.64532,1.64889,1.64018,1.64512
40.7,1.63887,1.64797,1.64863,1.63396
40.8,1.64146,1.65115,1.64358,1.63686
40.9,1.63757,1.64076,1.64314,1.63344
41,1.63601,1.64241,1.64536,1.6307
41.1,1.64035,1.64891,1.64777,1.63613
41.2,1.64112,1.64361,1.6447,1.63853
41.3,1.64721,1.64895,1.64653,1.63812
41.4,1.64317,1.65179,1.64954,1.63374
41.5,1.63472,1.64591,1.64895,1.63691
41.6,1.63823,1.64753,1.64703,1.63112
41.7,1.63604,1.6455,1.64272,1.63294
41.8,1.64579,1.64927,1.6429,1.63684
41.9,1.64455,1.65031,1.64457,1.64036
42,1.64099,1.64845,1.64386,1.63191
42.1,1.64127,1.64737,1.64023,1.64189
42.2,1.63615,1.6437,1.64476,1.6354
42.3,1.65354,1.64773,1.64802,1.63971
42.4,1.63791,1.64707,1.64443,1.63977
42.5,1.64524,1.6522,1.64491,1.62556
42.6,1.64603,1.64214,1.64495,1.63226
42.7,1.64409,1.64763,1.6476,1.6317
42.8,1.64334,1.64746,1.64457,1.62975
42.9,1.63761,1.6477,1.64347,1.62951
43,1.6473,1.64618,1.6431,1.6293
43.1,1.64341,1.64468,1.63849,1.63053
43.2,1.6481,1.64392,1.63883,1.6325
43.3,1.6377,1.65341,1.63597,1.63203
43.4,1.63845,1.65021,1.63979,1.63288
43.5,1.63686,1.65479,1.64437,1.63312
43.6,1.63597,1.64826,1.6433,1.63313
43.7,1.63916,1.65046,1.64174,1.6333
43.8,1.6401,1.64926,1.64295,1.63837
43.9,1.64086,1.64214,1.638,1.62731
44,1.64287,1.64902,1.63984,1.62911
44.1,1.64299,1.65135,1.64076,1.6319
44.2,1.64699,1.64695,1.64631,1.63396
44.3,1.64178,1.64449,1.63884,1.63278
44.4,1.64316,1.6481,1.64466,1.62846
44.5,1.64793,1.6423,1.64747,1.63147
44.6,1.6438,1.64127,1.64158,1.63308
44.7,1.63725,1.64609,1.6425,1.63605
44.8,1.63881,1.64676,1.64492,1.64303
44.9,1.64374,1.64521,1.64481,1.63
45,1.64646,1.65062,1.64071,1.6373
45.1,1.6486,1.65058,1.63872,1.63573
45.2,1.64612,1.64524,1.63872,1.63451
45.3,1.65287,1.64528,1.63229,1.636
45.4,1.6377,1.6471,1.64503,1.62997
45.5,1.64022,1.65038,1.63919,1.63375
45.6,1.6409,1.64339,1.64339,1.63896
45.7,1.64102,1.64336,1.63917,1.6282
45.8,1.63952,1.64998,1.6427,1.63055
45.9,1.63898,1.64374,1.63957,1.6351
46,1.63836,1.65795,1.64078,1.63832
46.1,1.64258,1.65167,1.64146,1.63241
46.2,1.6423,1.64798,1.64156,1.63264
46.3,1.64246,1.6492,1.6485,1.64154
46.4,1.64274,1.64928,1.65044,1.63682
46.5,1.64709,1.65004,1.64466,1.64069
46.6,1.64871,1.64568,1.64712,1.63993
46.7,1.644,1.65717,1.64538,1.6368
46.8,1.6457,1.65125,1.64235,1.63356
46.9,1.64147,1.65184,1.64938,1.63848
47,1.6441,1.64676,1.65076,1.63442
47.1,1.64501,1.64901,1.65373,1.63607
47.2,1.64198,1.64407,1.65256,1.63968
47.3,1.64193,1.65288,1.64113,1.62987
47.4,1.6495,1.64927,1.64477,1.63099
47.5,1.64294,1.64781,1.65025,1.63677
47.6,1.6425,1.64039,1.64987,1.6306
47.7,1.64571,1.64366,1.63791,1.63023
47.8,1.6418,1.63992,1.64808,1.63664
47.9,1.64248,1.64597,1.64114,1.63031
48,1.6407,1.64645,1.64083,1.63729
48.1,1.64214,1.6404,1.6448,1.63506
48.2,1.64139,1.6347,1.64515,1.63105
48.3,1.63129,1.64776,1.64633,1.63166
48.4,1.64558,1.64292,1.64518,1.63242
48.5,1.64503,1.65347,1.64651,1.63526
48.6,1.63578,1.647,1.64722,1.63313
48.7,1.64044,1.65444,1.64411,1.63464
48.8,1.64125,1.64578,1.64678,1.6339
48.9,1.64461,1.64892,1.64232,1.6354
49,1.64243,1.64845,1.65143,1.63286
49.1,1.64326,1.65172,1.6476,1.62919
49.2,1.64373,1.64371,1.64874,1.63263
49.3,1.64169,1.64707,1.64273,1.62734
49.4,1.64312,1.6389,1.64956,1.63956
49.5,1.64641,1.64967,1.65226,1.63235
49.6,1.65027,1.64409,1.6479,1.63582
49.7,1.6433,1.64191,1.64034,1.63883
49.8,1.6477,1.64407,1.64214,1.63868
49.9,1.6369,1.64949,1.64729,1.63928
50,1.64206,1.6527,1.64553,1.63164
50.1,1.64169,1.64971,1.64495,1.63561
50.2,1.63987,1.65289,1.64035,1.63722
50.3,1.65,1.65486,1.63804,1.63743
50.4,1.64564,1.64446,1.64555,1.63455
50.5,1.63887,1.65416,1.65263,1.62828
50.6,1.64129,1.64101,1.64597,1.63639
50.7,1.64181,1.64439,1.64225,1.63303
50.8,1.64121,1.64436,1.64102,1.63357
50.9,1.63846,1.64856,1.64273,1.62889
51,1.63947,1.64009,1.64684,1.63541
51.1,1.63835,1.64995,1.64908,1.63274
51.2,1.63735,1.64619,1.64865,1.63955
51.3,1.64233,1.64432,1.6477,1.64264
51.4,1.63557,1.6425,1.64824,1.63647
51.5,1.63573,1.64323,1.64513,1.63705
51.6,1.64486,1.64856,1.64329,1.64043
51.7,1.6402,1.65156,1.64463,1.63028
51.8,1.64266,1.64372,1.64729,1.63097
51.9,1.63685,1.65147,1.63799,1.63093
52,1.64312,1.6515,1.64055,1.63068
52.1,1.6413,1.64332,1.64317,1.629
52.2,1.64321,1.64926,1.64281,1.63494
52.3,1.63641,1.64724,1.64964,1.62957
52.4,1.64531,1.6518,1.64509,1.63282
52.5,1.63731,1.64679,1.64102,1.632
52.6,1.63974,1.64472,1.64393,1.63404
52.7,1.64677,1.64373,1.64714,1.63676
52.8,1.63951,1.65106,1.64375,1.62762
52.9,1.63933,1.65287,1.64441,1.63521
53,1.64321,1.64421,1.64198,1.64164
53.1,1.64058,1.64906,1.65242,1.63446
53.2,1.64266,1.6448,1.64436,1.62975
53.3,1.64421,1.64787,1.63945,1.6291
53.4,1.64049,1.64234,1.6462,1.63593
53.5,1.63974,1.64717,1.64297,1.63576
53.6,1.64217,1.64336,1.64673,1.6352
53.7,1.64415,1.64823,1.64936,1.62957
53.8,1.64512,1.64879,1.64306,1.62411
53.9,1.6389,1.64239,1.65064,1.63356
54,1.63943,1.64986,1.65018,1.62924
54.1,1.64335,1.64012,1.64585,1.6277
54.2,1.64369,1.6406,1.64751,1.63179
54.3,1.63843,1.64294,1.64459,1.6333
54.4,1.64431,1.63546,1.64724,1.62987
54.5,1.64189,1.64949,1.64538,1.62788
54.6,1.64404,1.64999,1.64377,1.63005
54.7,1.64255,1.64513,1.65359,1.63356
54.8,1.64439,1.65353,1.64899,1.63005
54.9,1.64172,1.64916,1.64644,1.63344
55,1.64153,1.64785,1.64683,1.63294
55.1,1.64393,1.65712,1.64888,1.63557
55.2,1.64105,1.64839,1.64144,1.63727
55.3,1.64516,1.64481,1.65234,1.62557
55.4,1.6451,1.65227,1.64312,1.62951
55.5,1.64457,1.6482,1.65157,1.63006
55.6,1.64112,1.63493,1.64961,1.63695
55.7,1.64698,1.64566,1.64229,1.63562
55.8,1.64118,1.64177,1.64707,1.6302
55.9,1.6486,1.64632,1.6448,1.6358
56,1.6439,1.6459,1.64474,1.64076
56.1,1.64532,1.64414,1.64561,1.63502
56.2,1.63932,1.64299,1.638,1.63504
56.3,1.63956,1.64176,1.6416,1.63586
56.4,1.64298,1.64359,1.64439,1.63309
56.5,1.65055,1.64426,1.65185,1.63651
56.6,1.63789,1.64533,1.64762,1.63497
56.7,1.64846,1.64931,1.64456,1.64084
56.8,1.64604,1.65144,1.64597,1.63373
56.9,1.64529,1.64715,1.64466,1.63439
57,1.64553,1.64789,1.64331,1.63461
57.1,1.64613,1.65179,1.64628,1.63436
57.2,1.64732,1.64977,1.6524,1.63397
57.3,1.64738,1.64598,1.65215,1.62955
57.4,1.64395,1.64791,1.64644,1.63257
57.5,1.64509,1.6516,1.64255,1.63441
57.6,1.64624,1.64928,1.64194,1.63085
57.7,1.64554,1.64821,1.64062,1.63734
57.8,1.64108,1.65378,1.64636,1.63727
57.9,1.64215,1.65123,1.64578,1.63566
58,1.64776,1.64191,1.6488,1.63152
58.1,1.64061,1.65202,1.64587,1.62587
58.2,1.64641,1.64412,1.64979,1.63082
58.3,1.64119,1.64153,1.64565,1.63166
58.4,1.63799,1.6451,1.64996,1.63949
58.5,1.64194,1.65049,1.64859,1.63324
