Pose/Time (ns),Pose  1: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,Pose  2: PersScore 0.161 PoseScore 4.181 DockingScore -7.816,Pose  3: PersScore 0.173 PoseScore 5.331 DockingScore -5.486,Pose  4: PersScore 0.170 PoseScore 6.607 DockingScore -5.076
0.409,1.299634461,1.198221693,1.036857372,1.069646438
0.41,1.300186767,1.199072469,1.037207989,1.070495787
0.411,1.300503503,1.19996781,1.037835769,1.071207897
0.412,1.301029936,1.200909604,1.038571301,1.071849275
0.413,1.301179422,1.201711139,1.039263138,1.072190563
0.414,1.301563996,1.205226651,1.039635213,1.073417202
0.415,1.302261354,1.208956339,1.040203597,1.074630485
0.416,1.302815213,1.209675682,1.041117108,1.076446079
0.417,1.303541341,1.210346756,1.041859462,1.077322078
0.418,1.304311291,1.210901255,1.042407392,1.077793425
0.419,1.304842859,1.211388053,1.042987623,1.081881564
0.42,1.305141409,1.21215206,1.043548466,1.085868243
0.421,1.305689344,1.21311373,1.044173232,1.085955768
0.422,1.306666098,1.214337199,1.044930672,1.093184008
0.423,1.310726775,1.215185092,1.045497934,1.093886292
0.424,1.314277205,1.215955971,1.046395995,1.093894521
0.425,1.315161812,1.216866401,1.047013896,1.094509377
0.426,1.315853507,1.217421274,1.048547341,1.094614304
0.427,1.316151875,1.217949145,1.048976687,1.095183486
0.428,1.316912777,1.218728874,1.049628158,1.098850591
0.429,1.317695572,1.219641747,1.050169858,1.099697223
0.43,1.318355665,1.220253829,1.050982486,1.099933037
0.431,1.318739654,1.220478049,1.051917074,1.100034796
0.432,1.322945733,1.221110522,1.052493968,1.100546153
0.433,1.323781784,1.222103564,1.052925024,1.100674098
0.434,1.324431983,1.22313872,1.053481748,1.101054388
0.435,1.324892368,1.223547536,1.054208849,1.100898163
0.436,1.325221431,1.224106009,1.054802539,1.100586523
0.437,1.329456497,1.224641127,1.055295613,1.107916324
0.438,1.330414776,1.225689424,1.055879241,1.10804744
0.439,1.338906829,1.226312731,1.056511767,1.108451937
0.44,1.339555932,1.226516418,1.057359073,1.10863135
0.441,1.340028756,1.227080117,1.057751431,1.108922075
0.442,1.340687256,1.227473436,1.058465475,1.109803546
0.443,1.341277266,1.228618221,1.0587881,1.110019928
0.444,1.341409459,1.229470776,1.059414886,1.110463651
0.445,1.342473316,1.230682165,1.060276616,1.11071751
0.446,1.343249358,1.231799322,1.06061146,1.111416421
0.447,1.34376726,1.232687595,1.061447981,1.111915493
0.448,1.34441195,1.233780625,1.062302209,1.11266872
0.449,1.345557534,1.234759244,1.062758737,1.113257989
0.45,1.345970708,1.235297892,1.06378937,1.113909045
0.451,1.346680151,1.235912249,1.064738244,1.114500804
0.452,1.347513491,1.236396277,1.065923332,1.115411221
0.453,1.34851864,1.236707671,1.067203347,1.116320418
0.454,1.349481614,1.238343483,1.068322472,1.117009196
0.455,1.356480057,1.239071431,1.069246063,1.117623912
0.456,1.356993545,1.239530823,1.070069102,1.118284175
0.457,1.357894797,1.240216897,1.070622252,1.118823328
