Pose/Time (ns),Pose 1: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,Pose 2: PersScore 0.277 PoseScore 2.633 DockingScore -14.718
0.121,0.507030212,0.585103788
0.122,0.507500212,0.585253044
0.123,0.508112365,0.589791956
0.124,0.511313912,0.590221553
0.125,0.511901815,0.595103832
0.126,0.512526316,0.595277928
0.127,0.51328489,0.595527277
0.128,0.513884356,0.596343149
0.129,0.516238081,0.596472408
0.13,0.518505756,0.596503265
0.131,0.521046679,0.596975206
0.132,0.525124708,0.60054274
0.133,0.525412367,0.611220214
0.134,0.525822448,0.611814053
0.135,0.528240938,0.612621748
0.136,0.528707594,0.613373
0.137,0.537182858,0.615340539
0.138,0.537092436,0.615822764
0.139,0.537768049,0.616463441
0.14,0.538275151,0.61721249
0.141,0.538913444,0.618090865
0.142,0.539629411,0.618598684
0.143,0.540021627,0.619393139
0.144,0.540754166,0.620174161
0.145,0.540997024,0.620595178
0.146,0.541963676,0.621428783
0.147,0.542651153,0.621836147
0.148,0.543211755,0.62217469
0.149,0.54381388,0.622501778
0.15,0.544329964,0.622670227
0.151,0.545150699,0.62311247
0.152,0.546059121,0.623585715
0.153,0.546658574,0.62388496
0.154,0.547252077,0.624154684
0.155,0.547511996,0.6243905
0.156,0.547804392,0.625081079
0.157,0.548124096,0.625338193
0.158,0.548792795,0.62604379
0.159,0.549513977,0.626408498
0.16,0.55001216,0.626913073
0.161,0.550487853,0.627348592
0.162,0.550942434,0.627737367
0.163,0.551430283,0.62820413
0.164,0.554205296,0.628742944
0.165,0.555188236,0.629283948
0.166,0.556074802,0.629775187
0.167,0.559029037,0.630523666
0.168,0.55991427,0.631130733
0.169,0.564861589,0.631587998
0.17,0.567625037,0.632182153
0.171,0.572557088,0.633526533
0.172,0.575899519,0.634133498
0.173,0.576325728,0.63464815
0.174,0.577194963,0.63771587
0.175,0.577495382,0.638649918
0.176,0.578432203,0.639360111
0.177,0.579222627,0.640698359
0.178,0.579700602,0.642113757
0.179,0.580339801,0.642940348
0.18,0.58109115,0.643654249
0.181,0.581334955,0.644470904
0.182,0.581469237,0.64519911
0.183,0.581900797,0.646095979
0.184,0.58221147,0.647044065
0.185,0.583782127,0.647929053
0.186,0.583894486,0.648141144
0.187,0.584157327,0.6558584
0.188,0.584457648,0.663494531
0.189,0.584409433,0.663918553
0.19,0.584518051,0.664735478
0.191,0.584954176,0.665244811
0.192,0.585242176,0.665579287
0.193,0.585394279,0.666201519
0.194,0.585492028,0.667028907
0.195,0.585555288,0.66763325
0.196,0.586154405,0.669154809
0.197,0.586530217,0.669431
0.198,0.586759655,0.670194193
0.199,0.587357954,0.675373073
0.2,0.588040108,0.675958781
0.201,0.588454463,0.676513173
0.202,0.588888502,0.677046558
0.203,0.589294231,0.677478206
0.204,0.589921987,0.677589462
0.205,0.591291849,0.679645502
0.206,0.591784083,0.680184226
0.207,0.592241649,0.680832333
0.208,0.592644779,0.681416383
0.209,0.593066771,0.681889225
0.21,0.593429611,0.682374363
0.211,0.593800555,0.685238616
0.212,0.594167237,0.685656926
0.213,0.595929327,0.686242391
0.214,0.596577653,0.686624222
0.215,0.598383353,0.687111582
0.216,0.598999814,0.68753788
0.217,0.599489652,0.68808431
0.218,0.599956004,0.688425282
0.219,0.600227257,0.689398319
0.22,0.600589315,0.69018904
0.221,0.600727478,0.69069917
0.222,0.600832594,0.691055058
0.223,0.601008854,0.691792309
0.224,0.60115402,0.696020294
0.225,0.601433556,0.696561127
0.226,0.601759996,0.697006614
0.227,0.602177005,0.697847861
0.228,0.602576923,0.698394275
0.229,0.603007965,0.698826803
0.23,0.602859908,0.699177204
0.231,0.602685994,0.699636823
0.232,0.602766134,0.70054975
0.233,0.603159324,0.701293802
0.234,0.603253084,0.702034962
0.235,0.603100691,0.703000095
0.236,0.603331479,0.703253508
0.237,0.60325452,0.70788159
0.238,0.603467915,0.708236552
0.239,0.60376141,0.708768213
0.24,0.605362721,0.709144796
0.241,0.605597355,0.709480258
0.242,0.60552478,0.709724802
0.243,0.605917553,0.712037541
0.244,0.605929407,0.712360094
0.245,0.60614714,0.712582253
0.246,0.608308734,0.71268222
0.247,0.608869141,0.71255897
0.248,0.609365022,0.71257715
0.249,0.609996624,0.71261691
0.25,0.610549333,0.712829471
0.251,0.610852732,0.712970561
0.252,0.611243675,0.71328145
0.253,0.611759188,0.713461255
0.254,0.61234384,0.713936947
0.255,0.612754248,0.714131766
0.256,0.613149518,0.714538379
0.257,0.613684024,0.714781782
0.258,0.613943275,0.715166002
0.259,0.614368382,0.715727251
0.26,0.614581074,0.715755397
0.261,0.615344278,0.716036923
0.262,0.615790417,0.716457337
0.263,0.616167907,0.717401047
0.264,0.616208344,0.717839706
0.265,0.616435227,0.718026252
0.266,0.616921758,0.718271588
0.267,0.617668332,0.71841295
0.268,0.618095105,0.718576838
0.269,0.618810204,0.718978843
0.27,0.619514545,0.719520678
0.271,0.620103288,0.719737644
0.272,0.620530859,0.720204541
0.273,0.621184362,0.72036934
