Pose/Time (ns),Z100299612: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,GTP: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,Z3932191: PersScore 0.452 PoseScore 1.419 DockingScore -13.397
0.122,0.912021577,0.507500212,0.692353467
0.123,0.913135896,0.508112365,0.693225818
0.124,0.914005132,0.511313912,0.710342449
0.125,0.914960385,0.511901815,0.711411402
0.126,0.916028635,0.512526316,0.712317244
0.127,0.937096365,0.51328489,0.713507975
0.128,0.938051118,0.513884356,0.714683021
0.129,0.939473538,0.516238081,0.715900265
0.13,0.940601252,0.518505756,0.717051336
0.131,0.941751365,0.521046679,0.718242603
0.132,0.94312341,0.525124708,0.719292129
0.133,0.94487974,0.525412367,0.720208333
0.134,0.946052019,0.525822448,0.721268965
0.135,0.94682703,0.528240938,0.724060725
0.136,0.948432905,0.528707594,0.738791431
0.137,0.949601149,0.537182858,0.740010038
0.138,0.95103075,0.537092436,0.740957528
0.139,0.951606822,0.537768049,0.742012298
0.14,0.952431999,0.538275151,0.742988398
0.141,0.957230504,0.538913444,0.743706596
0.142,0.958277296,0.539629411,0.744732431
0.143,0.958756655,0.540021627,0.745663345
0.144,0.959822485,0.540754166,0.74670588
0.145,0.961220191,0.540997024,0.751923003
0.146,0.962392264,0.541963676,0.7529388
0.147,0.963443197,0.542651153,0.754007765
0.148,0.969061538,0.543211755,0.754979579
0.149,0.970471836,0.54381388,0.762893722
0.15,0.976132686,0.544329964,0.764019018
0.151,0.977843872,0.545150699,0.765020125
0.152,0.979655128,0.546059121,0.766231347
0.153,0.991768112,0.546658574,0.76723653
0.154,0.998825538,0.547252077,0.768420778
0.155,1.019125628,0.547511996,0.769411189
0.156,1.024748714,0.547804392,0.774882559
0.157,1.02647703,0.548124096,0.775918522
0.158,1.027161477,0.548792795,0.777109858
0.159,1.028524463,0.549513977,0.777970937
0.16,1.029130177,0.55001216,0.778809958
0.161,1.029777331,0.550487853,0.779610287
0.162,1.031095362,0.550942434,0.780124848
0.163,1.032115497,0.551430283,0.782693914
0.164,1.033155878,0.554205296,0.793309949
0.165,1.035169117,0.555188236,0.794209895
0.166,1.03610046,0.556074802,0.795112494
0.167,1.037296194,0.559029037,0.795867096
0.168,1.04495235,0.55991427,0.79670231
0.169,1.04553489,0.564861589,0.797838065
0.17,1.046714264,0.567625037,0.798856824
0.171,1.048487157,0.572557088,0.799913259
0.172,1.049885385,0.575899519,0.806466079
0.173,1.050996967,0.576325728,0.807364676
0.174,1.052366078,0.577194963,0.808567518
0.175,1.053057216,0.577495382,0.809586634
0.176,1.053763744,0.578432203,0.810427003
0.177,1.054253466,0.579222627,0.810993449
0.178,1.055679664,0.579700602,0.811794742
0.179,1.056738848,0.580339801,0.812286345
0.18,1.063883884,0.58109115,0.812775458
0.181,1.064483292,0.581334955,0.813138926
0.182,1.065310959,0.581469237,0.813322885
0.183,1.066070446,0.581900797,0.813814299
0.184,1.066552571,0.58221147,0.814377541
0.185,1.067572396,0.583782127,0.814742311
0.186,1.068293992,0.583894486,0.815439968
0.187,1.069476214,0.584157327,0.81579194
0.188,1.070292435,0.584457648,0.816080768
0.189,1.071386388,0.584409433,0.816229963
0.19,1.072948116,0.584518051,0.816449404
0.191,1.074405283,0.584954176,0.816629067
0.192,1.074916883,0.585242176,0.818829742
0.193,1.075949769,0.585394279,0.819208174
0.194,1.076538622,0.585492028,0.819285951
0.195,1.077185799,0.585555288,0.819375239
0.196,1.077731295,0.586154405,0.819748339
0.197,1.086025148,0.586530217,0.819918341
0.198,1.08710167,0.586759655,0.820364074
0.199,1.087853785,0.587357954,0.820708548
0.2,1.087967782,0.588040108,0.820951434
0.201,1.088550452,0.588454463,0.821239364
0.202,1.088656132,0.588888502,0.821239135
0.203,1.089279771,0.589294231,0.821499143
0.204,1.090020227,0.589921987,0.821813928
0.205,1.090447094,0.591291849,0.835123928
0.206,1.091022689,0.591784083,0.835409469
0.207,1.092111469,0.592241649,0.835908492
0.208,1.092674146,0.592644779,0.836381984
0.209,1.09411259,0.593066771,0.836664495
0.21,1.09496004,0.593429611,0.836746541
0.211,1.101055892,0.593800555,0.836743224
0.212,1.101285252,0.594167237,0.836843301
0.213,1.102468691,0.595929327,0.837262303
0.214,1.11245415,0.596577653,0.837738335
0.215,1.113520322,0.598383353,0.838183129
0.216,1.114202607,0.598999814,0.838845027
0.217,1.114922976,0.599489652,0.839455537
0.218,1.116109215,0.599956004,0.840208116
0.219,1.117486686,0.600227257,0.842973011
0.22,1.118933661,0.600589315,0.843938149
0.221,1.120414914,0.600727478,0.846784303
0.222,1.121765913,0.600832594,0.847371478
0.223,1.122691782,0.601008854,0.8478358
0.224,1.123550574,0.60115402,0.84801111
0.225,1.124462867,0.601433556,0.848185335
0.226,1.126000054,0.601759996,0.848683263
0.227,1.127122441,0.602177005,0.84918615
0.228,1.128323852,0.602576923,0.849510055
0.229,1.128954305,0.603007965,0.849387199
0.23,1.129565086,0.602859908,0.849670305
0.231,1.129688287,0.602685994,0.850013614
0.232,1.130243667,0.602766134,0.850577965
0.233,1.131268073,0.603159324,0.85128661
0.234,1.132357835,0.603253084,0.851586349
0.235,1.133405943,0.603100691,0.852124737
0.236,1.138764312,0.603331479,0.852471346
0.237,1.139605932,0.60325452,0.852635723
0.238,1.140479853,0.603467915,0.852996788
0.239,1.141407941,0.60376141,0.853176056
0.24,1.142401398,0.605362721,0.853754976
0.241,1.143366616,0.605597355,0.853950706
0.242,1.144164591,0.60552478,0.854392619
0.243,1.144979855,0.605917553,0.854572097
0.244,1.145850382,0.605929407,0.854730971
0.245,1.146996552,0.60614714,0.854858875
0.246,1.147231463,0.608308734,0.855070556
0.247,1.148318886,0.608869141,0.855537186
