Pose/Time (ns),Pose 1: PersScore 0.452 PoseScore 1.419 DockingScore -13.397,Pose  2: PersScore 0.291 PoseScore 3.460 DockingScore -12.701
0.146,0.7529388,0.926688566
0.147,0.754007765,0.92802149
0.148,0.754979579,0.931936237
0.149,0.762893722,0.933136951
0.15,0.764019018,0.934112204
0.151,0.765020125,0.941916836
0.152,0.766231347,0.943109135
0.153,0.76723653,0.943606284
0.154,0.768420778,0.944910175
0.155,0.769411189,0.945908545
0.156,0.774882559,0.946599406
0.157,0.775918522,0.947269148
0.158,0.777109858,0.947967977
0.159,0.777970937,0.948943048
0.16,0.778809958,0.950042831
0.161,0.779610287,0.951473876
0.162,0.780124848,0.952161694
0.163,0.782693914,0.953531485
0.164,0.793309949,0.954226008
0.165,0.794209895,0.955109236
0.166,0.795112494,0.957039214
0.167,0.795867096,0.95847226
0.168,0.79670231,0.959590452
0.169,0.797838065,0.960617929
0.17,0.798856824,0.965258261
0.171,0.799913259,0.966373698
0.172,0.806466079,0.967450341
0.173,0.807364676,0.967951233
0.174,0.808567518,0.969457001
0.175,0.809586634,0.970354198
0.176,0.810427003,0.971268083
0.177,0.810993449,0.972822309
0.178,0.811794742,0.974486582
0.179,0.812286345,0.975069198
0.18,0.812775458,0.975386218
0.181,0.813138926,0.976045854
0.182,0.813322885,0.977017328
0.183,0.813814299,0.978093806
0.184,0.814377541,0.979017134
0.185,0.814742311,0.979989036
0.186,0.815439968,0.980927407
0.187,0.81579194,0.981805297
0.188,0.816080768,0.983254064
0.189,0.816229963,0.984124787
0.19,0.816449404,0.985234404
0.191,0.816629067,0.986368323
0.192,0.818829742,0.987162898
0.193,0.819208174,0.988361178
0.194,0.819285951,0.989670154
0.195,0.819375239,0.990670416
0.196,0.819748339,0.9917492
0.197,0.819918341,0.992345354
0.198,0.820364074,0.992998901
0.199,0.820708548,0.993578122
0.2,0.820951434,0.994580535
0.201,0.821239364,0.995828844
0.202,0.821239135,0.996425992
0.203,0.821499143,1.001228211
0.204,0.821813928,1.00293186
0.205,0.835123928,1.003726255
0.206,0.835409469,1.004740642
0.207,0.835908492,1.005392108
0.208,0.836381984,1.006284219
0.209,0.836664495,1.007219485
0.21,0.836746541,1.008619308
0.211,0.836743224,1.009992083
0.212,0.836843301,1.01077825
0.213,0.837262303,1.011322811
0.214,0.837738335,1.012391497
0.215,0.838183129,1.013194617
0.216,0.838845027,1.013618894
0.217,0.839455537,1.014392614
0.218,0.840208116,1.015051428
0.219,0.842973011,1.016500125
0.22,0.843938149,1.017547307
0.221,0.846784303,1.018382043
0.222,0.847371478,1.019686224
0.223,0.8478358,1.020385782
0.224,0.84801111,1.02105882
0.225,0.848185335,1.021385365
0.226,0.848683263,1.022579283
0.227,0.84918615,1.023519046
0.228,0.849510055,1.024268681
0.229,0.849387199,1.02523346
0.23,0.849670305,1.025746385
0.231,0.850013614,1.026807056
0.232,0.850577965,1.028058782
0.233,0.85128661,1.028547811
0.234,0.851586349,1.029308845
0.235,0.852124737,1.030307648
0.236,0.852471346,1.031208237
0.237,0.852635723,1.032116876
0.238,0.852996788,1.033015365
0.239,0.853176056,1.03440333
0.24,0.853754976,1.035283526
0.241,0.853950706,1.036166327
0.242,0.854392619,1.036829514
0.243,0.854572097,1.037408681
0.244,0.854730971,1.038728575
0.245,0.854858875,1.040029618
0.246,0.855070556,1.041027134
0.247,0.855537186,1.042023117
0.248,0.856167315,1.043371003
0.249,0.856672201,1.044931317
0.25,0.857177951,1.046299209
0.251,0.857688484,1.046918525
0.252,0.858297784,1.048298014
0.253,0.858756353,1.05220271
0.254,0.859200329,1.052728167
0.255,0.859654047,1.053733945
0.256,0.860311187,1.054840151
0.257,0.86070595,1.055686998
0.258,0.861112364,1.056468816
0.259,0.861341875,1.057494403
0.26,0.861757382,1.058129497
0.261,0.862249803,1.059414807
0.262,0.862317771,1.060597636
0.263,0.863255437,1.061923024
0.264,0.863417775,1.062501856
0.265,0.863840414,1.063315824
0.266,0.864092655,1.074694991
0.267,0.864489602,1.075783708
0.268,0.865287312,1.076402752
0.269,0.866018792,1.077606947
0.27,0.866599226,1.078314097
0.271,0.86747589,1.079500926
0.272,0.868091933,1.080626561
0.273,0.868333591,1.081999727
0.274,0.868972252,1.085220903
0.275,0.869749933,1.086260636
0.276,0.870210146,1.087235705
0.277,0.870966268,1.088163195
0.278,0.871658263,1.089065212
0.279,0.872370551,1.090394001
0.28,0.872639886,1.09145834
0.281,0.872958152,1.092274016
0.282,0.87341097,1.093098814
0.283,0.873772113,1.094122721
0.284,0.87423353,1.094775315
0.285,0.874758844,1.095580119
0.286,0.875347859,1.095889129
0.287,0.875989809,1.096783475
0.288,0.876802078,1.100806519
0.289,0.87784804,1.102017882
0.29,0.878462232,1.103387463
0.291,0.879227218,1.104458966
0.292,0.880264172,1.108080146
0.293,0.881340038,1.10869171
0.294,0.882471012,1.109758021
0.295,0.88334999,1.110862267
0.296,0.883794725,1.118612317
0.297,0.884318161,1.119428682
0.298,0.885233845,1.121004292
0.299,0.885581528,1.121738831
0.3,0.885942859,1.122327878
0.301,0.886626394,1.123124486
0.302,0.887298526,1.124015299
0.303,0.88824518,1.125393356
0.304,0.888697645,1.126596275
0.305,0.889001321,1.127244793
0.306,0.889492539,1.128528412
0.307,0.88967761,1.129622993
0.308,0.88994087,1.131137295
0.309,0.890788652,1.132521742
0.31,0.891726678,1.133525689
0.311,0.892165367,1.134294715
0.312,0.892590444,1.135365218
0.313,0.892704024,1.136531499
0.314,0.893259019,1.137076169
0.315,0.893597895,1.138052482
0.316,0.893955422,1.150718306
0.317,0.894013792,1.152558534
0.318,0.89407961,1.169412233
0.319,0.894604525,1.170579782
0.32,0.894733311,1.176123523
0.321,0.895134622,1.17675611
0.322,0.895277697,1.191754895
0.323,0.89556536,1.196817981
0.324,0.895937771,1.197483229
0.325,0.896284455,1.198177966
0.326,0.896577839,1.199717394
0.327,0.896921821,1.201202197
0.328,0.897262823,1.201788071
0.329,0.897654369,1.202475342
0.33,0.898131598,1.203508952
0.331,0.898600116,1.206996611
0.332,0.899188831,1.208100079
0.333,0.89962479,1.211836758
0.334,0.900066621,1.213058208
0.335,0.900402917,1.213509719
0.336,0.900755821,1.214073995
0.337,0.901351703,1.214424284
0.338,0.901955899,1.214803853
0.339,0.902490968,1.218454125
0.34,0.902832698,1.228664519
0.341,0.903342023,1.229133541
0.342,0.905956679,1.229742148
0.343,0.906380623,1.230495384
0.344,0.909229252,1.231520901
0.345,0.909627966,1.232874839
0.346,0.911883868,1.233693868
0.347,0.912171723,1.23492606
0.348,0.915323291,1.235651723
0.349,0.915559312,1.236877921
0.35,0.915860147,1.238395675
0.351,0.916161184,1.239170414
0.352,0.918138215,1.239854027
0.353,0.918420113,1.240701074
0.354,0.919116673,1.241358899
0.355,0.919886589,1.248639273
0.356,0.920763371,1.249199929
0.357,0.924197237,1.253411999
0.358,0.924792911,1.254266987
0.359,0.926325186,1.254949231
0.36,0.926793375,1.256214798
0.361,0.927322038,1.25704451
0.362,0.928013945,1.257844044
0.363,0.92868236,1.25866597
0.364,0.92905366,1.259338189
0.365,0.931541911,1.26216568
0.366,0.931897352,1.262664097
0.367,0.932260995,1.263216451
0.368,0.932657011,1.26351325
0.369,0.934058705,1.263925314
0.37,0.93894487,1.265205696
0.371,0.939587254,1.26664743
0.372,0.940121535,1.267425631
0.373,0.940692481,1.267928472
0.374,0.940949905,1.268384228
0.375,0.941330826,1.2691823
0.376,0.941823825,1.270476952
0.377,0.942095327,1.271088757
0.378,0.942435811,1.271730288
0.379,0.942951511,1.272406284
0.38,0.943543533,1.273423238
0.381,0.944016031,1.27350967
0.382,0.944510268,1.273999307
0.383,0.945059749,1.274723015
0.384,0.945486823,1.276105894
0.385,0.946151683,1.277236779
0.386,0.946564864,1.27764848
0.387,0.947194593,1.278224434
0.388,0.947649644,1.279015636
0.389,0.947854881,1.279521399
0.39,0.948196919,1.279809511
0.391,0.948413051,1.27979098
0.392,0.948805034,1.279954489
0.393,0.948951767,1.280828835
0.394,0.949332741,1.281079601
0.395,0.949711001,1.281156681
0.396,0.94999403,1.281288043
0.397,0.950378776,1.281414878
0.398,0.950950101,1.282285629
0.399,0.951212043,1.282700433
0.4,0.951419767,1.283477665
0.401,0.951773441,1.283510913
0.402,0.952304321,1.287648518
0.403,0.952950773,1.287801383
0.404,0.953437884,1.287834742
0.405,0.954020141,1.288134686
0.406,0.954372214,1.292020892
0.407,0.954562917,1.292204939
0.408,0.955095398,1.292399288
0.409,0.955621906,1.292743222
0.41,0.956371064,1.293016337
0.411,0.956936298,1.293240524
0.412,0.957662727,1.293580894
0.413,0.958310749,1.294104795
0.414,0.958619457,1.294937921
0.415,0.95900101,1.295290022
0.416,0.959340057,1.295295392
0.417,0.959637919,1.295535598
0.418,0.95994604,1.29633645
0.419,0.960309557,1.296916079
0.42,0.960575564,1.29752781
0.421,0.96079838,1.297920598
0.422,0.961093017,1.298580872
0.423,0.961397251,1.299397834
0.424,0.961952568,1.29979106
0.425,0.96228411,1.300245261
0.426,0.962849665,1.30086807
0.427,0.963162458,1.301868244
0.428,0.9636643,1.309338677
0.429,0.963842942,1.30991403
0.43,0.964185233,1.310574855
0.431,0.964489221,1.311179446
0.432,0.964755145,1.31182586
0.433,0.965307323,1.315261795
0.434,0.965654162,1.315277157
0.435,0.965950726,1.315929511
0.436,0.96632689,1.316699637
0.437,0.966773934,1.317161218
0.438,0.967224021,1.317721918
0.439,0.967778504,1.319527364
0.44,0.968355304,1.319918547
0.441,0.968858038,1.320602041
0.442,0.969420236,1.321295931
0.443,0.971674759,1.329762216
0.444,0.972207362,1.330229674
0.445,0.97278012,1.330705597
0.446,0.973230682,1.33125411
0.447,0.973848089,1.332213266
0.448,0.974443975,1.333084856
0.449,0.975101116,1.334361296
0.45,0.975696288,1.335418445
0.451,0.976256695,1.336384767
0.452,0.976919174,1.337452823
0.453,0.977111919,1.338813675
0.454,0.977181166,1.339321536
0.455,0.977361058,1.339798197
0.456,0.977611006,1.355265664
0.457,0.97788935,1.356298193
0.458,0.978199212,1.356826296
0.459,0.978547542,1.35728572
0.46,0.979753586,1.357877306
0.461,0.979878222,1.358566304
0.462,0.980220778,1.359153603
0.463,0.98025921,1.359678599
0.464,0.980343847,1.360218601
0.465,0.980653552,1.361065409
0.466,0.981006732,1.361331303
0.467,0.981272188,1.361871926
0.468,0.981614725,1.361976855
0.469,0.981900027,1.362229616
0.47,0.982155971,1.36283754
0.471,0.984377699,1.363776166
0.472,0.984816736,1.364406277
0.473,0.985273878,1.364854037
0.474,0.988564901,1.365398796
0.475,0.989133159,1.365700928
