Pose/Time (ns),ZINC000100299612: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,GTP: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,ZINC000003932191: PersScore 0.452 PoseScore 1.419 DockingScore -13.397,ZINC000077301904 PersScore 0.536 PoseScore 2.553 DockingScore -13.363,ZINC000003830434 PersScore 0.313 PoseScore 1.972 DockingScore -9.597,ZINC000004215255 PersScore 0.445 PoseScore 2.772 DockingScore -13.930,ZINC000095615286 PersScore 0.229 PoseScore 2.699 DockingScore -12.759,ZINC000150374455 PersScore 0.209 PoseScore 3.062 DockingScore -13.887,ZINC000008655696 PersScore 0.042 PoseScore 3.214 DockingScore -14.072
0.042,0.738025267,0.414955013,0.512493228,0.583106454,0.569305113,0.491237769,0.56772512,0.535276813,0.508921842
0.043,0.739057993,0.415860807,0.512965085,0.598749443,0.569688151,0.492170919,0.57661954,0.543210169,0.509683661
0.044,0.739757203,0.416232326,0.513532341,0.59998031,0.570382445,0.498609817,0.577939017,0.555177251,0.509997407
0.045,0.740074508,0.424470842,0.51689703,0.601071508,0.571203768,0.499276508,0.579145813,0.561541983,0.511080632
0.046,0.740883026,0.425599912,0.517996017,0.619053261,0.571894006,0.500120313,0.580420407,0.562986186,0.511624349
0.047,0.749150873,0.426970505,0.534344977,0.620159804,0.572436848,0.500993015,0.582204594,0.563724598,0.512507717
0.048,0.749856707,0.428155978,0.540551167,0.621692829,0.572957573,0.502124813,0.583794215,0.565048288,0.512854423
0.049,0.750290826,0.429385134,0.544321715,0.623097833,0.573659865,0.502983247,0.58583139,0.566660423,0.514094503
0.05,0.751552241,0.430186593,0.545407391,0.624270279,0.574397676,0.503999309,0.587678831,0.567756513,0.514568544
0.051,0.752128662,0.430991235,0.546554454,0.625613228,0.575126483,0.50467314,0.588992078,0.580444642,0.524453494
0.052,0.752682596,0.431691498,0.547593004,0.64132477,0.576180295,0.505234534,0.589992384,0.581856815,0.525275055
0.053,0.752892549,0.432364615,0.555983283,0.69944411,0.577179099,0.505828336,0.591037156,0.595046908,0.525775539
0.054,0.753054371,0.433433288,0.569778068,0.709405115,0.577906467,0.506462822,0.592440839,0.596380318,0.526484676
0.055,0.754291251,0.434003038,0.570603408,0.71643598,0.578576598,0.507155656,0.593338033,0.597854448,0.53103559
0.056,0.75535212,0.434583589,0.577276493,0.717489323,0.592757252,0.507708875,0.602160394,0.599300398,0.531611176
0.057,0.756260772,0.43550034,0.580643266,0.718805659,0.593235268,0.508763384,0.603109866,0.608207374,0.532161215
0.058,0.764238459,0.436425245,0.581782191,0.719907111,0.601273726,0.509535827,0.604041048,0.609414602,0.532694402
0.059,0.771766807,0.437143444,0.58556431,0.721198555,0.602047083,0.510372018,0.610595065,0.610786532,0.533583699
0.06,0.779534233,0.437984635,0.586903887,0.722312781,0.602972059,0.511672501,0.611538651,0.612300657,0.534847258
0.061,0.780537605,0.438704375,0.590189506,0.723265434,0.603514042,0.516301021,0.626688786,0.613706581,0.535673005
0.062,0.789122171,0.449582692,0.598027819,0.72463551,0.613420369,0.544823367,0.628370854,0.61487203,0.536363394
0.063,0.797409689,0.450646636,0.59906939,0.725759922,0.614300401,0.555471513,0.62925992,0.616244319,0.537174048
