projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.677, -0.006
-0.828, 0.310
-0.806, -0.489
-0.653, -0.591
-0.752, 0.136
-0.470, 0.382
-0.413, 0.216
-0.798, -0.104
-0.430, -0.807
-0.328, -0.749
-0.563, -0.678
-0.594, -1.052
-0.352, 0.005
-0.548, -0.474
-0.743, -0.042
-0.355, -0.238
-0.738, -0.045
-0.699, -0.308
-0.561, -0.748
-0.613, -0.292
-0.532, 0.129
-0.446, 0.375
-0.712, -0.324
-0.862, -0.921
-0.823, -1.115
-0.776, -0.663
-0.708, -0.582
-0.485, -1.054
-0.538, -0.155
-0.333, 0.563
-0.533, 0.033
-0.538, -0.106
-0.668, -0.640
-0.505, -1.021
-0.403, -0.341
-0.184, -0.602
-0.114, -1.333
-0.273, -0.569
-0.212, -0.521
-0.229, -0.805
-0.450, -0.135
-0.848, -0.585
-0.932, -0.810
-1.248, -1.194
-0.641, -0.579
-1.026, 0.033
-0.823, 0.252
-0.934, -0.279
-0.673, -1.164
-0.585, -0.845
-0.920, -1.283
-0.584, -1.058
-0.696, -1.157
-0.614, -0.418
-0.934, -0.564
-1.366, -0.666
-0.868, -0.013
-0.938, -0.951
-1.029, -1.213
-0.315, -0.815
-0.557, -1.267
-0.727, -1.283
-0.665, -0.963
-1.126, -0.376
-0.622, -0.778
-0.420, -0.345
-1.115, -0.059
-0.979, 0.056
-1.139, -0.439
-0.521, -0.464
-0.360, -0.359
0.065, 0.127
-0.505, -0.398
-0.797, 0.654
-0.749, 0.496
-0.997, 0.163
-1.163, 0.098
-0.807, 0.328
-1.347, 1.379
-1.107, 0.387
-1.194, 0.876
-0.466, 0.198
-1.055, 0.241
-0.674, -0.112
-0.957, -0.464
-1.010, -0.052
-0.998, -0.147
-1.302, -0.563
-1.134, -0.026
-0.580, 0.465
-0.525, -0.735
-0.499, -0.922
-1.066, -0.572
-1.330, -0.183
-1.641, 0.043
-1.869, -0.218
-1.524, -0.394
-1.343, -0.797
-1.839, -0.370
-1.137, -0.574
-1.208, -0.689
-1.378, -0.694
-1.011, -0.939
-0.858, -0.600
-0.635, -1.033
-1.190, -0.127
-0.462, 0.067
-1.035, -0.794
-0.658, 0.217
-0.589, -0.321
-1.007, -0.628
-0.414, -0.120
-0.410, 0.494
-0.443, 1.062
-0.292, 0.093
-0.436, 0.753
-0.617, 0.576
-0.805, 0.919
-0.951, 0.244
-0.699, -0.117
-0.571, -0.313
-1.415, -0.651
-1.247, -0.766
-0.608, -0.500
-0.555, -0.080
-0.668, -0.182
-0.930, 0.576
-0.991, 0.626
-0.998, 0.448
-0.279, 0.098
-1.721, 0.620
-1.303, 0.529
-1.066, 0.455
-0.553, 0.514
-1.363, -0.028
-0.868, -0.389
-0.843, -0.093
-0.982, -0.500
-0.879, 0.196
-0.566, 0.021
-0.538, -0.540
-0.868, -0.693
-1.047, -0.910
-0.384, -1.543
-0.602, -1.893
-0.476, -1.802
-0.710, -1.316
-1.325, -0.913
-1.541, -0.792
-1.095, -1.464
-1.162, -1.592
-0.892, -0.867
-1.121, -1.237
-0.874, -1.713
-0.596, -1.733
-0.168, -1.618
-0.225, -0.837
-0.251, -0.692
-0.279, -0.380
-0.360, -0.840
-0.199, -0.161
-0.082, -0.242
-0.373, -0.436
-0.413, -0.848
-0.771, -0.382
-0.856, -1.062
-0.651, -0.690
-0.692, -0.763
-0.521, -0.980
-0.474, -0.779
-0.403, -0.965
-0.735, -1.005
-0.497, -1.227
-0.353, -1.005
-0.772, -1.127
-0.164, -0.419
-0.810, -0.829
-0.504, -0.217
-0.115, 0.210
-0.709, -0.743
-0.628, -0.222
-0.401, 0.050
0.026, 0.025
-0.305, -0.025
0.032, -0.692
-0.505, -0.850
-0.151, -0.347
-0.309, -1.418
-1.076, -0.593
-0.177, -0.627
-0.702, -0.819
-0.999, -0.769
-1.237, -1.289
-1.328, -0.827
-1.381, -1.535
-1.182, -1.092
-1.372, -0.465
-1.200, -0.720
-1.457, -1.125
-1.016, -0.812
-1.345, -0.877
-1.623, -0.734
-1.384, -0.453
-1.423, -0.512
