projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-1.009, -1.730
-0.705, -2.266
-0.473, -2.295
-0.498, -1.902
-1.025, -2.005
-1.441, -1.967
-0.796, -2.063
-0.017, -2.730
0.094, -2.471
-0.654, -1.879
-0.299, -2.018
-0.338, -2.272
-0.056, -2.341
0.374, -2.545
0.453, -2.679
0.634, -2.892
0.390, -2.383
0.151, -2.141
0.032, -2.483
0.706, -2.652
0.074, -2.461
0.328, -2.763
0.061, -2.212
0.365, -2.804
-0.475, -1.994
-0.939, -2.227
-1.516, -1.960
-1.350, -2.021
-0.712, -2.143
-0.463, -2.318
-0.053, -2.467
-1.558, -1.800
-0.915, -2.023
-1.320, -1.727
-0.273, -2.371
-0.319, -2.255
-0.654, -2.221
-0.494, -2.010
-0.833, -2.118
-0.038, -2.434
-0.487, -2.267
-0.473, -2.244
-0.824, -1.898
-0.574, -2.402
-0.303, -2.177
-0.320, -2.074
0.077, -2.290
-0.516, -2.005
-0.650, -2.240
0.210, -2.424
-0.658, -2.196
-0.554, -2.260
-1.064, -2.007
-1.010, -2.050
-0.524, -2.232
-0.479, -2.122
-0.764, -1.806
-0.239, -2.258
-0.352, -2.199
0.428, -2.814
0.849, -2.794
-0.146, -2.527
-0.059, -2.271
-0.024, -2.395
-0.233, -2.618
-0.349, -2.038
0.510, -2.450
0.730, -2.862
-0.011, -2.397
0.180, -2.340
0.008, -2.604
-0.092, -2.428
0.254, -2.839
-0.205, -2.426
-0.396, -2.370
-0.627, -2.105
-1.140, -2.150
-1.318, -1.887
-1.168, -1.809
-0.961, -2.100
-1.082, -1.975
-1.296, -1.848
-0.466, -2.222
-0.549, -2.414
-0.873, -2.211
-1.525, -1.757
-1.399, -1.656
-0.672, -2.066
-1.862, -1.395
-1.574, -1.737
-1.444, -1.738
-1.742, -1.464
-1.307, -1.360
-1.815, -1.682
-1.750, -1.351
-1.838, -1.577
-1.838, -1.829
-1.719, -1.654
-0.983, -2.143
-1.236, -1.838
-1.180, -1.922
-0.807, -2.084
-1.481, -1.742
-1.329, -2.008
-1.498, -1.481
-1.929, -1.702
-1.919, -1.484
-1.744, -2.050
-1.382, -2.011
-0.959, -1.943
-0.956, -2.088
-1.206, -1.993
-1.051, -1.363
-1.290, -1.294
-0.593, -1.766
-0.920, -1.919
-0.784, -2.186
-1.152, -1.766
-0.818, -1.721
-1.384, -1.501
-2.086, -1.589
-1.912, -1.484
-1.837, -1.554
-2.331, -1.172
-1.959, -1.462
-1.701, -1.770
-0.932, -1.865
-0.902, -1.847
-1.500, -1.957
-1.543, -1.779
-1.424, -2.033
-1.799, -1.409
-1.593, -1.915
-0.860, -1.914
-0.889, -2.406
-0.711, -2.388
-0.898, -2.137
-1.319, -2.081
-0.742, -2.058
-1.076, -2.010
-0.670, -2.350
-1.018, -2.049
-1.179, -1.828
-0.901, -1.903
-0.824, -2.021
-1.207, -2.128
-1.850, -1.898
-1.765, -1.910
-1.073, -1.735
-0.629, -2.278
-0.822, -2.058
-0.668, -2.050
-0.486, -1.984
-0.626, -2.067
-0.600, -2.334
-1.747, -1.655
-1.366, -1.699
-1.823, -1.826
-1.655, -2.113
-1.166, -2.193
-1.145, -2.072
-1.334, -1.779
-0.776, -2.041
-1.670, -1.562
-0.583, -1.872
-0.473, -2.004
-1.237, -1.345
-1.393, -1.431
-2.019, -1.354
-0.702, -1.964
-0.491, -2.182
-1.632, -1.720
-1.963, -1.501
-1.840, -1.221
-0.923, -1.646
-1.157, -1.577
-0.945, -2.230
-1.830, -1.598
-1.623, -1.892
-1.351, -1.562
-1.657, -1.637
-1.636, -1.464
-1.718, -1.496
-1.785, -1.365
-1.494, -1.740
-1.844, -1.487
-1.701, -1.665
-1.940, -1.328
-1.670, -1.388
-1.520, -1.400
-1.746, -1.490
-1.439, -1.405
-1.347, -1.353
-1.883, -1.176
-1.496, -1.490
-1.056, -1.626
-1.171, -1.645
-1.360, -1.459
-2.138, -1.384
-2.105, -1.597
-2.360, -1.116
-2.561, -1.151
-2.043, -1.437
-2.056, -1.403
-2.032, -1.201
-1.939, -1.291
-1.563, -1.589
-1.085, -1.791
-1.335, -2.022
-1.546, -1.610
-1.527, -1.501
-0.575, -2.004
-1.698, -1.521
-1.764, -1.438
-2.154, -1.407
-1.579, -1.684
-1.711, -1.645
-0.816, -1.846
-0.941, -2.000
-1.168, -2.117
-0.875, -2.347
-0.745, -2.047
-1.060, -2.037
-0.605, -2.082
-1.315, -1.901
-1.569, -1.511
-1.539, -1.646
-1.300, -2.056
-0.830, -2.038
-0.566, -2.013
-1.237, -1.730
-1.130, -1.897
-1.282, -1.535
-0.893, -1.995
-1.581, -1.323
-1.614, -1.277
-1.909, -1.341
-2.317, -0.990
-1.707, -1.663
-2.230, -1.339
-1.899, -1.120
-1.694, -1.167
-1.379, -1.300
-1.161, -1.495
-1.067, -1.534
-1.266, -1.601
-1.578, -1.463
-1.856, -1.250
-1.682, -1.360
-1.219, -1.491
-1.466, -1.015
-1.609, -1.393
-1.211, -1.478
-1.034, -2.005
-1.307, -1.525
-0.804, -1.719
-1.497, -1.420
-1.708, -1.377
-1.145, -1.495
-1.379, -1.661
-1.217, -1.563
-1.327, -2.089
-1.136, -2.028
-0.754, -2.082
-0.765, -1.929
-0.237, -1.663
-0.918, -2.099
-0.699, -1.732
-1.010, -1.609
-0.342, -2.092
-1.186, -1.893
-1.051, -1.616
-0.967, -2.059
-1.478, -1.869
-1.338, -1.847
-1.149, -1.779
-1.519, -1.925
-1.235, -1.643
-1.287, -1.846
-1.769, -1.436
-2.056, -1.364
-0.658, -2.297
-0.644, -2.472
-1.032, -2.215
-0.843, -1.904
-1.737, -1.759
-0.746, -2.393
-0.796, -2.173
-0.668, -2.506
-0.181, -2.431
