projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
0.709, -0.843
-0.703, -0.875
0.129, -0.668
-0.718, -1.009
0.014, -0.396
-0.492, -0.372
-0.078, -0.516
0.475, -0.132
0.486, -0.150
-0.152, -0.111
0.121, -0.370
-0.061, -0.469
-0.683, -0.157
-0.668, -0.349
0.005, -0.234
0.455, -0.033
0.439, -0.110
0.845, -0.031
0.810, -0.148
1.544, -0.612
0.321, -0.851
0.315, -0.746
0.223, -0.731
1.095, -0.523
1.586, -0.374
1.223, -0.621
0.522, -0.724
0.210, -0.545
0.330, -0.922
0.595, -0.569
0.392, -0.743
-0.467, -0.489
0.173, -0.477
0.582, -0.352
1.567, -0.029
1.068, -0.715
0.810, -0.539
0.095, -0.817
-0.235, -0.605
-0.280, -0.950
0.403, -0.770
0.481, -0.691
0.994, -0.499
1.070, -0.487
1.667, -0.621
1.463, -0.447
1.352, -0.407
1.703, -0.577
1.566, -0.569
1.300, -0.483
1.425, -0.486
1.192, -1.028
1.336, -0.674
1.187, -0.431
1.238, -0.510
1.287, 0.021
1.090, -0.037
0.648, -0.563
1.007, -0.180
0.637, -0.268
0.840, -0.494
0.302, -0.774
0.663, -0.795
0.754, -0.524
1.757, -0.107
0.955, -0.270
1.025, -0.315
1.065, 0.052
0.972, -0.147
1.246, -0.333
1.244, -0.438
1.023, -0.499
0.571, -0.665
0.510, -0.289
0.123, -0.386
0.800, 0.407
0.658, -0.246
0.458, 0.353
0.232, 0.388
0.250, 0.540
0.289, 0.510
0.531, 0.624
0.054, 0.659
-0.626, 0.287
-0.572, 0.680
-0.486, 0.407
-0.210, 0.800
-0.242, 0.662
-0.463, 0.630
-0.272, 0.805
-0.681, 0.778
0.205, 0.755
0.960, 0.644
0.023, 0.720
-0.424, 0.571
0.658, 0.429
-0.310, 0.379
0.136, 0.540
-0.052, 0.477
0.129, 0.663
-0.103, 0.434
-0.082, 0.799
-0.867, 0.436
-0.929, 0.683
-0.988, 0.431
0.246, 0.617
0.046, 0.857
-0.304, 0.655
0.169, 0.720
0.143, 0.924
-0.002, 0.866
-0.343, 0.972
0.262, 1.056
0.201, 1.103
0.377, 1.288
0.587, 0.901
0.441, 1.007
0.419, 1.068
0.576, 1.309
-0.219, 1.307
0.083, 0.680
0.566, 1.112
-0.464, 0.405
-0.442, 0.483
0.163, 0.820
-0.872, 0.588
-1.554, 0.856
-1.667, 0.496
-1.957, 0.454
-1.959, -0.072
-1.777, -0.063
-1.871, -0.113
-1.666, 0.239
