projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
0.113, 0.258
0.861, -0.060
1.335, 0.050
1.565, 0.070
1.199, 0.493
1.566, 0.087
1.491, -0.291
1.530, 0.205
1.430, 0.042
1.943, 0.437
2.298, 0.668
1.784, 0.066
2.297, 0.758
1.781, 0.300
1.629, 0.369
1.291, 0.164
1.000, -0.258
1.258, -0.028
0.138, -0.861
0.828, -0.736
0.933, -0.507
0.916, 0.151
1.510, 0.540
1.621, 0.246
1.433, 0.611
0.934, 0.167
0.691, -0.744
0.600, -0.546
0.760, -0.314
0.741, -0.679
0.258, -0.399
0.380, 0.025
-0.249, -0.200
0.608, -0.085
0.511, -0.306
-0.028, -0.470
0.225, -0.711
0.321, -0.650
0.051, -0.560
-0.891, -1.518
-0.306, -0.936
0.531, -0.551
0.268, -0.611
0.670, -0.409
0.662, -0.235
0.082, -0.547
0.505, -0.464
0.117, -0.013
0.566, -0.304
0.520, -0.630
1.122, -0.604
0.550, -0.416
0.976, 0.035
0.712, -0.021
0.408, -0.135
0.585, -0.215
0.957, -0.023
1.210, 0.452
1.244, 0.109
0.717, -0.264
0.883, -0.057
0.903, 0.141
0.907, 0.156
1.083, -0.408
0.915, -0.141
1.026, -0.063
1.662, 0.257
1.153, 0.212
0.529, -0.412
0.558, -0.051
0.063, -0.271
-0.105, -0.172
-0.401, -0.338
0.005, -0.174
-0.244, -0.647
0.334, -0.308
-0.004, -0.932
0.803, -0.408
0.868, 0.214
0.055, -0.105
0.092, -0.643
0.175, -0.158
0.698, -0.405
0.199, -0.374
1.026, 0.342
0.652, -0.244
0.891, -0.009
0.518, 0.103
0.785, 0.176
0.602, 0.323
0.715, 0.215
0.579, 0.193
-0.269, -0.470
-0.047, -0.677
0.409, 0.295
-0.050, 0.108
0.222, 0.198
-0.144, 0.498
0.665, 0.391
-0.156, -0.151
0.188, 0.460
-0.118, -0.379
0.269, 0.247
0.043, 0.017
0.180, -0.008
0.465, -0.340
-0.143, -0.826
-0.324, -0.430
0.326, -0.175
0.150, -0.551
0.886, 0.228
0.618, 0.279
0.613, -0.042
0.500, -0.118
0.707, 0.027
0.261, -0.531
0.038, -1.026
0.588, -0.479
0.932, 0.064
0.586, -0.054
0.226, 0.082
-0.145, 0.098
0.018, 0.113
-0.152, -0.045
0.410, 0.251
0.024, -0.030
-0.052, -0.482
0.600, 0.230
0.897, -0.123
0.956, 0.472
0.412, -0.158
0.861, 0.140
1.072, 0.398
0.550, 0.614
0.843, 0.288
0.438, -0.022
0.987, -0.102
0.741, 0.193
0.607, 0.631
0.035, -0.192
0.248, 0.225
0.321, 0.633
0.714, 1.131
0.315, 0.696
0.705, 0.617
-0.078, -0.148
0.281, 0.186
0.205, 0.301
0.523, 0.347
0.583, 0.414
0.794, 0.986
1.746, 1.581
1.829, 1.698
1.863, 1.510
1.495, 1.331
1.770, 1.754
1.743, 1.575
1.804, 1.337
2.083, 1.755
1.897, 1.543
1.641, 1.065
1.345, 0.965
1.935, 1.069
2.240, 1.494
1.989, 1.038
1.276, 0.873
1.789, 0.804
2.102, 0.833
1.991, 0.755
1.731, 0.689
1.867, 1.017
1.614, 0.878
1.762, 0.787
1.781, 0.776
1.097, 0.355
1.318, 0.724
0.680, 0.052
0.957, 0.217
0.715, 0.158
1.502, 0.463
1.405, 0.749
1.501, 0.699
1.513, 1.067
1.477, 0.805
1.849, 1.039
1.315, 0.800
1.436, 1.325
1.467, 0.860
1.152, 0.567
0.930, 0.893
1.055, 0.941
1.233, 1.364
1.472, 1.575
1.001, 0.867
1.588, 0.854
1.283, 0.742
1.203, 0.877
1.762, 1.226
1.569, 0.967
1.533, 1.183
1.456, 1.383
1.384, 1.836
1.420, 1.356
1.262, 1.265
0.884, 0.939
1.326, 1.257
1.140, 1.291
0.945, 0.880
0.847, 0.854
1.387, 1.503
1.684, 1.641
1.506, 1.063
1.605, 1.168
1.941, 1.489
1.071, 1.139
1.730, 1.502
1.448, 1.179
1.768, 1.489
1.636, 1.199
1.451, 1.099
1.240, 1.125
1.270, 1.060
1.713, 0.729
1.496, 0.725
1.576, 1.213
1.681, 0.829
1.385, 0.760
1.621, 1.089
1.204, 0.994
1.030, 0.866
1.256, 1.128
1.896, 1.139
1.586, 0.729
1.283, 0.424
0.902, 0.522
1.449, 0.930
0.998, 0.866
0.854, 0.677
0.757, 0.322
0.531, -0.176
0.587, 0.322
0.729, 0.393
0.414, -0.022
0.045, -0.106
-0.334, -0.141
-0.054, 0.211
0.333, 0.455
0.911, 0.911
0.493, 0.761
0.403, 1.274
0.729, 1.065
0.123, 0.698
0.166, 0.251
0.303, 0.499
0.743, 0.848
0.689, 0.507
1.429, 1.394
1.616, 1.482
1.415, 1.009
0.885, 0.450
1.341, 0.594
1.731, 1.128
1.650, 1.047
1.828, 1.263
2.217, 1.372
1.986, 1.746
1.673, 1.955
1.752, 1.536
1.940, 1.342
2.115, 1.535
2.138, 1.312
1.944, 1.442
1.527, 0.980
1.797, 1.183
1.704, 0.954
1.538, 0.868
1.819, 1.251
1.882, 1.050
1.274, 1.561
1.608, 1.302
1.522, 1.623
1.847, 1.736
1.961, 2.029
1.819, 1.580
2.012, 1.841
1.465, 1.152
0.735, 0.365
0.982, 0.891
1.730, 1.515
2.367, 1.720
2.231, 1.919
2.694, 1.980
2.186, 2.086
2.177, 2.005
2.226, 2.379
2.407, 2.222
1.451, 1.405
1.274, 1.037
1.430, 1.249
1.194, 1.126
1.554, 1.299
1.181, 1.242
1.275, 1.334
1.805, 1.636
2.110, 1.969
1.838, 1.641
1.553, 1.099
1.535, 1.079
2.058, 1.453
2.363, 1.809
2.129, 1.337
2.699, 1.826
2.953, 1.429
2.729, 1.731
2.807, 1.688
2.803, 1.846
2.370, 1.545
2.655, 1.700
2.390, 1.612
2.521, 1.809
2.497, 1.452
2.664, 2.070
2.794, 1.969
2.348, 1.494
1.790, 0.985
1.282, 0.419
1.100, 0.718
1.486, 0.841
1.334, 0.208
1.330, 0.438
0.456, -0.020
0.987, 0.200
1.357, 0.312
1.428, 0.119
1.110, 0.116
1.071, 0.050
1.097, -0.041
1.575, 0.323
2.060, 0.350
1.380, -0.342
1.673, 0.176
1.593, 0.376
0.865, -0.283
1.240, -0.088
1.682, 0.095
1.564, 0.102
1.847, 0.400
1.555, 0.007
1.587, 0.519
1.847, 0.283
1.692, 0.181
1.139, -0.504
1.695, 0.380
2.009, 0.310
2.053, 0.480
1.743, 0.221
2.053, 0.510
2.021, 0.364
1.972, 0.219
1.764, 0.212
2.563, 0.626
1.519, -0.443
1.097, -0.409
1.260, -0.301
1.426, -0.254
1.638, -0.303
1.841, -0.220
2.044, -0.196
2.137, 0.316
2.093, -0.092
1.869, 0.368
1.480, -0.223
1.797, 0.349
1.595, 0.071
1.550, 0.288
1.925, 0.130
2.111, 0.317
1.379, -0.180
1.328, 0.138
1.143, -0.248
1.475, -0.189
2.121, 0.420
1.480, -0.169
1.929, 0.121
1.915, 0.532
1.753, 0.381
1.351, -0.123
1.791, 0.306
1.771, -0.124
0.951, -0.523
1.368, -0.294
1.567, -0.012
1.918, -0.171
1.876, 0.039
1.716, -0.556
1.299, -0.891
1.580, -0.709
1.598, -0.594
1.404, -1.038
1.504, -0.806
1.633, -0.893
2.456, -0.053
2.309, -0.183
1.752, -0.563
1.564, -0.490
1.972, -0.370
1.899, -0.186
2.321, 0.218
2.062, 0.298
1.750, 0.112
2.502, 0.678
2.104, 0.170
1.973, 0.070
1.401, -0.654
1.552, -0.489
1.900, 0.130
