projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-1.782, 0.926
-0.296, -2.142
-0.299, -1.373
0.159, -1.709
-0.049, -1.624
-0.031, -1.707
-0.103, -2.133
-0.596, -1.861
-0.543, -1.419
-0.228, -1.632
-0.124, -1.986
-0.658, -1.629
-0.933, -1.512
-1.009, -1.815
-1.032, -1.914
-1.183, -1.787
-0.743, -1.538
-1.052, -1.599
-0.917, -1.388
-0.885, -1.442
-0.900, -1.018
-0.686, -1.246
-1.170, -0.982
-0.907, -0.663
-1.059, -1.104
-0.579, -1.318
-0.673, -0.988
-0.802, -0.717
-0.746, -0.674
-0.559, -0.875
-0.441, -1.416
-0.678, -1.813
-0.433, -1.396
-0.608, -1.250
-0.902, -0.839
-0.685, -1.004
-0.432, -1.187
-0.582, -1.233
-0.940, -0.833
-0.337, -0.970
-0.109, -1.297
-0.933, -0.898
-0.394, -0.977
-0.545, -0.932
-0.317, -0.670
-0.863, -1.154
-0.835, -0.639
-0.561, -1.056
-0.395, -0.917
-0.609, -0.868
-0.333, -1.145
-0.376, -1.117
-0.397, -1.132
-0.429, -0.665
-0.476, -0.752
-0.103, -1.251
-0.519, -1.489
0.145, -1.729
-0.384, -1.290
-0.383, -1.580
0.012, -1.767
-0.263, -1.214
-0.440, -1.112
-0.101, -1.433
-0.359, -1.425
0.018, -1.727
-0.029, -1.722
-0.157, -1.240
-0.365, -1.207
-0.412, -1.556
-0.964, -1.393
-0.646, -1.536
-0.144, -2.073
-0.056, -2.032
0.478, -2.325
-0.137, -2.208
0.396, -2.156
0.317, -2.080
-0.121, -1.658
-0.320, -1.307
-0.187, -1.245
-0.306, -1.256
-0.510, -1.232
-0.859, -1.065
-0.884, -1.188
-0.925, -0.986
-0.689, -0.470
-1.242, -0.583
-1.277, -0.255
-1.296, -0.567
-1.012, -1.179
-1.262, -0.772
-0.909, -1.138
-0.932, -0.929
-0.802, -1.086
-0.584, -1.236
-0.625, -1.285
-0.724, -1.362
0.020, -1.668
-0.286, -1.357
-0.715, -1.735
-0.906, -1.491
-0.814, -1.083
-1.045, -1.320
-0.696, -1.583
-0.480, -1.164
-0.511, -0.901
-1.049, -0.461
-0.981, -0.558
-0.757, -0.828
-0.718, -0.558
-0.735, -0.660
-0.947, -0.441
-0.963, -0.644
-0.384, -0.780
-0.582, -0.590
-0.355, -0.294
-0.778, -1.080
-0.861, -0.892
-0.758, -0.966
-0.903, -1.131
-1.086, -0.992
-1.051, -1.460
-1.366, -1.004
-1.938, -0.685
-1.685, -0.623
-1.807, -0.600
-1.810, -0.333
-1.590, -0.921
-1.555, -0.582
-1.036, -0.933
-0.803, -1.313
-1.160, -1.123
-0.951, -1.383
-1.579, -1.145
-1.365, -0.875
-1.797, -0.870
-1.193, -1.208
-1.151, -1.176
-1.232, -0.950
-1.328, -0.994
-1.014, -1.372
-0.619, -1.395
-0.610, -1.293
-0.671, -1.464
-1.127, -1.590
-0.924, -1.399
-1.317, -1.406
-1.162, -1.188
-0.849, -1.630
-1.038, -1.173
-0.846, -1.093
-0.792, -1.019
-0.654, -1.496
-0.512, -1.082
-0.593, -1.101
-0.767, -1.184
-0.735, -1.014
-0.148, -0.914
-0.770, -1.062
-0.663, -1.240
-0.717, -0.929
-0.653, -1.612
-0.079, -1.289
-0.694, -1.165
-0.644, -1.494
-0.811, -1.373
-0.491, -1.337
-0.512, -1.165
-0.473, -1.787
-0.263, -2.107
0.008, -2.512
-0.127, -2.611
-0.489, -2.114
0.025, -2.508
0.344, -2.496
-0.015, -2.257
-0.166, -2.061
-0.331, -1.867
0.053, -2.092
-0.213, -2.005
-0.606, -1.771
-0.260, -1.775
-0.470, -1.139
-0.821, -0.802
-0.906, -0.726
-0.739, -0.943
-1.095, -0.844
-1.021, -0.992
-1.153, -1.001
-0.633, -0.922
-0.800, -0.865
-0.405, -1.062
-0.484, -1.435
-0.671, -0.967
-0.706, -0.761
-0.505, -1.416
-0.847, -1.739
-1.056, -1.320
-0.920, -1.554
-0.645, -1.726
-1.349, -1.016
-1.332, -0.970
-1.170, -0.796
-1.579, -0.777
-1.508, -0.962
-1.231, -1.135
-1.160, -0.772
-0.983, -0.706
-1.372, 0.071
-1.330, -0.921
-0.865, -1.289
-0.923, -1.555
-0.950, -1.433
-0.487, -1.408
-0.620, -1.248
-0.800, -1.195
-0.754, -0.840
-1.141, -1.001
-0.697, -1.479
-0.832, -1.848
-0.458, -1.689
0.039, -1.961
0.140, -1.898
0.019, -2.347
-0.250, -2.075
0.081, -2.152
-0.549, -1.881
-0.285, -2.134
-0.491, -1.810
-0.735, -1.290
-0.929, -0.786
-1.191, -1.319
-1.205, -0.814
-0.716, -1.346
-0.387, -1.578
0.290, -1.762
-0.088, -1.467
0.561, -1.527
-0.018, -1.357
-0.253, -1.088
-0.153, -0.949
0.371, -1.494
0.566, -1.126
0.099, -0.920
0.068, -0.772
-0.034, -0.603
0.156, -0.834
0.004, -0.391
-0.156, -0.531
-0.441, 0.334
0.214, -0.443
-0.447, 0.235
0.078, -0.065
0.148, -0.261
0.221, -0.652
0.935, -0.089
0.409, 0.180
-0.039, 0.418
0.431, 0.317
0.099, 0.384
-0.038, 0.479
-0.296, 0.305
-0.093, 0.875
0.156, 0.860
0.303, 0.765
0.586, 0.495
0.295, 0.399
0.416, 0.300
0.052, 0.205
0.181, 0.138
-0.096, -0.209
0.379, -0.320
0.600, -0.554
-0.161, 0.124
