Time (ps), RMSD (nm)
35.300, 0.126
35.400, 0.118
35.500, 0.128
35.600, 0.128
35.700, 0.116
35.800, 0.123
35.900, 0.112
36.000, 0.118
36.100, 0.115
36.200, 0.117
36.300, 0.117
36.400, 0.116
36.500, 0.126
36.600, 0.115
36.700, 0.114
36.800, 0.119
36.900, 0.113
37.000, 0.111
37.100, 0.112
37.200, 0.124
37.300, 0.112
37.400, 0.112
37.500, 0.111
37.600, 0.116
37.700, 0.106
37.800, 0.116
37.900, 0.112
38.000, 0.112
38.100, 0.122
38.200, 0.117
38.300, 0.119
38.400, 0.112
38.500, 0.118
38.600, 0.122
38.700, 0.119
38.800, 0.116
38.900, 0.119
39.000, 0.116
39.100, 0.112
39.200, 0.116
39.300, 0.120
39.400, 0.115
39.500, 0.120
39.600, 0.114
39.700, 0.112
39.800, 0.113
39.900, 0.107
40.000, 0.110
40.100, 0.107
40.200, 0.110
40.300, 0.106
40.400, 0.100
40.500, 0.115
40.600, 0.110
40.700, 0.111
40.800, 0.107
40.900, 0.117
41.000, 0.118
41.100, 0.112
41.200, 0.115
41.300, 0.115
41.400, 0.112
41.500, 0.111
41.600, 0.119
41.700, 0.115
41.800, 0.125
41.900, 0.110
42.000, 0.108
42.100, 0.108
42.200, 0.111
42.300, 0.115
42.400, 0.115
42.500, 0.111
42.600, 0.116
42.700, 0.123
42.800, 0.119
42.900, 0.126
43.000, 0.117
43.100, 0.112
43.200, 0.115
43.300, 0.111
43.400, 0.110
43.500, 0.114
43.600, 0.115
43.700, 0.116
43.800, 0.113
43.900, 0.117
44.000, 0.117
44.100, 0.109
44.200, 0.103
44.300, 0.117
44.400, 0.110
44.500, 0.119
44.600, 0.126
44.700, 0.112
44.800, 0.120
44.900, 0.114
45.000, 0.115
45.100, 0.121
45.200, 0.123
45.300, 0.119
45.400, 0.116
45.500, 0.109
45.600, 0.109
45.700, 0.102
45.800, 0.111
45.900, 0.104
46.000, 0.109
46.100, 0.116
46.200, 0.114
46.300, 0.110
46.400, 0.109
46.500, 0.107
46.600, 0.110
46.700, 0.107
46.800, 0.109
46.900, 0.117
47.000, 0.109
47.100, 0.110
47.200, 0.108
47.300, 0.105
47.400, 0.108
47.500, 0.113
47.600, 0.115
47.700, 0.104
47.800, 0.110
47.900, 0.107
48.000, 0.119
48.100, 0.120
48.200, 0.107
48.300, 0.118
48.400, 0.117
48.500, 0.123
48.600, 0.117
48.700, 0.107
48.800, 0.117
48.900, 0.109
49.000, 0.109
49.100, 0.118
49.200, 0.114
49.300, 0.109
49.400, 0.105
49.500, 0.118
49.600, 0.114
49.700, 0.112
49.800, 0.107
49.900, 0.116
50.000, 0.108
50.100, 0.113
50.200, 0.110
50.300, 0.112
50.400, 0.110
50.500, 0.116
50.600, 0.114
50.700, 0.113
50.800, 0.119
50.900, 0.112
51.000, 0.114
51.100, 0.117
51.200, 0.112
51.300, 0.115
51.400, 0.112
51.500, 0.122
51.600, 0.102
51.700, 0.105
51.800, 0.109
51.900, 0.109
52.000, 0.105
52.100, 0.112
52.200, 0.112
52.300, 0.114
52.400, 0.109
52.500, 0.106
52.600, 0.109
52.700, 0.106
52.800, 0.104
52.900, 0.096
53.000, 0.110
53.100, 0.109
53.200, 0.105
53.300, 0.108
53.400, 0.104
53.500, 0.115
53.600, 0.117
53.700, 0.112
53.800, 0.112
53.900, 0.111
54.000, 0.115
54.100, 0.115
54.200, 0.105
54.300, 0.110
54.400, 0.119
54.500, 0.120
54.600, 0.119
54.700, 0.123
54.800, 0.116
54.900, 0.110
55.000, 0.115
55.100, 0.113
55.200, 0.109
55.300, 0.111
55.400, 0.112
55.500, 0.123
55.600, 0.122
55.700, 0.115
55.800, 0.116
55.900, 0.118
56.000, 0.115
56.100, 0.116
56.200, 0.111
56.300, 0.118
56.400, 0.111
56.500, 0.113
56.600, 0.114
56.700, 0.107
56.800, 0.113
56.900, 0.111
57.000, 0.104
57.100, 0.102
57.200, 0.107
57.300, 0.108
57.400, 0.110
57.500, 0.107
57.600, 0.107
57.700, 0.112
57.800, 0.109
57.900, 0.114
58.000, 0.110
58.100, 0.105
58.200, 0.111
58.300, 0.116
58.400, 0.114
58.500, 0.125
58.600, 0.114
58.700, 0.117
58.800, 0.112
58.900, 0.115
59.000, 0.110
59.100, 0.114
59.200, 0.107
59.300, 0.119
59.400, 0.118
59.500, 0.108
59.600, 0.115
59.700, 0.126
59.800, 0.115
59.900, 0.117
60.000, 0.111
60.100, 0.124
60.200, 0.119
60.300, 0.120
60.400, 0.113
60.500, 0.124
60.600, 0.113
60.700, 0.113
60.800, 0.116
60.900, 0.117
61.000, 0.109
61.100, 0.110
61.200, 0.110
61.300, 0.116
61.400, 0.113
61.500, 0.115
61.600, 0.127
61.700, 0.116
61.800, 0.112
61.900, 0.117
62.000, 0.118
62.100, 0.113
62.200, 0.112
62.300, 0.117
62.400, 0.114
62.500, 0.126
62.600, 0.117
62.700, 0.121
62.800, 0.109
62.900, 0.117
63.000, 0.114
63.100, 0.120
63.200, 0.127
63.300, 0.120
63.400, 0.121
63.500, 0.125
63.600, 0.119
63.700, 0.119
63.800, 0.117
63.900, 0.116
64.000, 0.131
64.100, 0.134
