Time (ps), RMSD (nm)
0.000, 0.001
0.100, 0.130
0.200, 0.144
0.300, 0.140
0.400, 0.142
0.500, 0.143
0.600, 0.148
0.700, 0.140
0.800, 0.143
0.900, 0.140
1.000, 0.134
1.100, 0.147
1.200, 0.143
1.300, 0.137
1.400, 0.143
1.500, 0.135
1.600, 0.138
1.700, 0.139
1.800, 0.146
1.900, 0.135
2.000, 0.144
2.100, 0.145
2.200, 0.152
2.300, 0.144
2.400, 0.151
2.500, 0.145
2.600, 0.146
2.700, 0.145
2.800, 0.144
2.900, 0.143
3.000, 0.151
3.100, 0.145
3.200, 0.150
3.300, 0.155
3.400, 0.155
3.500, 0.158
3.600, 0.159
3.700, 0.153
3.800, 0.154
3.900, 0.155
4.000, 0.148
4.100, 0.163
4.200, 0.164
4.300, 0.145
4.400, 0.145
4.500, 0.138
4.600, 0.151
4.700, 0.158
4.800, 0.142
4.900, 0.154
5.000, 0.163
5.100, 0.155
5.200, 0.150
5.300, 0.144
5.400, 0.159
5.500, 0.139
5.600, 0.140
5.700, 0.146
5.800, 0.141
5.900, 0.147
6.000, 0.146
6.100, 0.154
6.200, 0.142
6.300, 0.152
6.400, 0.142
6.500, 0.144
6.600, 0.139
6.700, 0.141
6.800, 0.139
6.900, 0.142
7.000, 0.147
7.100, 0.148
7.200, 0.148
7.300, 0.151
7.400, 0.148
7.500, 0.150
7.600, 0.145
7.700, 0.149
7.800, 0.155
7.900, 0.155
8.000, 0.152
8.100, 0.149
8.200, 0.143
8.300, 0.157
8.400, 0.154
8.500, 0.158
8.600, 0.157
8.700, 0.154
8.800, 0.144
8.900, 0.151
9.000, 0.147
9.100, 0.155
9.200, 0.153
9.300, 0.156
9.400, 0.143
9.500, 0.149
9.600, 0.143
9.700, 0.142
9.800, 0.137
9.900, 0.143
10.000, 0.135
10.100, 0.148
10.200, 0.147
10.300, 0.147
10.400, 0.145
10.500, 0.147
10.600, 0.146
10.700, 0.146
10.800, 0.140
10.900, 0.151
11.000, 0.152
11.100, 0.145
11.200, 0.149
11.300, 0.161
11.400, 0.152
11.500, 0.152
11.600, 0.144
11.700, 0.145
11.800, 0.147
11.900, 0.145
12.000, 0.146
12.100, 0.148
12.200, 0.153
12.300, 0.153
12.400, 0.158
12.500, 0.145
12.600, 0.155
12.700, 0.149
12.800, 0.155
12.900, 0.156
13.000, 0.157
13.100, 0.169
13.200, 0.154
13.300, 0.153
13.400, 0.160
13.500, 0.157
13.600, 0.153
13.700, 0.157
13.800, 0.155
13.900, 0.148
14.000, 0.156
14.100, 0.161
14.200, 0.164
14.300, 0.153
14.400, 0.156
14.500, 0.142
14.600, 0.145
14.700, 0.158
14.800, 0.155
14.900, 0.150
15.000, 0.145
15.100, 0.147
15.200, 0.150
15.300, 0.138
15.400, 0.138
15.500, 0.141
15.600, 0.144
15.700, 0.141
15.800, 0.141
15.900, 0.150
16.000, 0.152
16.100, 0.154
16.200, 0.157
16.300, 0.155
16.400, 0.153
16.500, 0.147
16.600, 0.143
16.700, 0.150
16.800, 0.165
16.900, 0.149
17.000, 0.150
17.100, 0.160
17.200, 0.161
17.300, 0.168
17.400, 0.157
17.500, 0.155
17.600, 0.149
17.700, 0.141
17.800, 0.147
17.900, 0.150
18.000, 0.154
18.100, 0.148
18.200, 0.149
18.300, 0.150
18.400, 0.149
18.500, 0.166
18.600, 0.164
18.700, 0.168
18.800, 0.168
18.900, 0.168
19.000, 0.161
19.100, 0.162
19.200, 0.168
19.300, 0.160
19.400, 0.160
19.500, 0.159
19.600, 0.155
19.700, 0.152
19.800, 0.156
19.900, 0.151
20.000, 0.160
20.100, 0.168
20.200, 0.158
20.300, 0.163
20.400, 0.167
20.500, 0.154
20.600, 0.153
20.700, 0.156
20.800, 0.155
20.900, 0.155
21.000, 0.159
21.100, 0.152
21.200, 0.158
21.300, 0.147
21.400, 0.147
21.500, 0.141
21.600, 0.132
21.700, 0.147
21.800, 0.151
21.900, 0.150
22.000, 0.136
22.100, 0.136
22.200, 0.139
22.300, 0.156
22.400, 0.158
22.500, 0.153
22.600, 0.157
22.700, 0.158
22.800, 0.164
22.900, 0.164
23.000, 0.159
23.100, 0.155
23.200, 0.154
23.300, 0.157
23.400, 0.147
23.500, 0.149
23.600, 0.152
23.700, 0.149
23.800, 0.151
23.900, 0.143
24.000, 0.149
24.100, 0.148
24.200, 0.152
24.300, 0.155
24.400, 0.152
24.500, 0.151
24.600, 0.157
24.700, 0.160
24.800, 0.154
24.900, 0.160
25.000, 0.148
25.100, 0.155
25.200, 0.151
25.300, 0.138
25.400, 0.152
25.500, 0.149
25.600, 0.144
25.700, 0.143
25.800, 0.143
25.900, 0.149
26.000, 0.146
26.100, 0.149
26.200, 0.142
26.300, 0.148
26.400, 0.151
26.500, 0.147
26.600, 0.156
26.700, 0.150
26.800, 0.162
26.900, 0.147
27.000, 0.151
27.100, 0.150
27.200, 0.143
27.300, 0.140
27.400, 0.154
27.500, 0.146
27.600, 0.145
27.700, 0.151
27.800, 0.142
27.900, 0.146
28.000, 0.150
28.100, 0.136
28.200, 0.145
28.300, 0.142
28.400, 0.150
28.500, 0.135
28.600, 0.148
28.700, 0.157
28.800, 0.143
28.900, 0.148
29.000, 0.144
29.100, 0.151
29.200, 0.148
29.300, 0.139
29.400, 0.141
29.500, 0.149
29.600, 0.144
29.700, 0.144
29.800, 0.142
29.900, 0.149
30.000, 0.156
30.100, 0.143
30.200, 0.145
30.300, 0.136
30.400, 0.141
30.500, 0.146
30.600, 0.143
30.700, 0.141
30.800, 0.147
30.900, 0.151
31.000, 0.147
31.100, 0.141
31.200, 0.141
31.300, 0.142
31.400, 0.134
31.500, 0.137
31.600, 0.141
31.700, 0.139
31.800, 0.134
31.900, 0.142
32.000, 0.142
32.100, 0.150
32.200, 0.150
32.300, 0.152
32.400, 0.148
32.500, 0.142
32.600, 0.149
32.700, 0.136
32.800, 0.137
32.900, 0.151
33.000, 0.138
33.100, 0.151
33.200, 0.143
33.300, 0.143
33.400, 0.146
33.500, 0.133
33.600, 0.152
33.700, 0.145
33.800, 0.142
33.900, 0.145
34.000, 0.147
34.100, 0.153
34.200, 0.150
34.300, 0.150
34.400, 0.151
34.500, 0.154
34.600, 0.143
34.700, 0.149
34.800, 0.138
34.900, 0.142
35.000, 0.152
35.100, 0.158
35.200, 0.144
35.300, 0.150
35.400, 0.148
35.500, 0.141
35.600, 0.138
35.700, 0.147
35.800, 0.146
35.900, 0.149
36.000, 0.146
36.100, 0.147
36.200, 0.137
36.300, 0.140
36.400, 0.148
36.500, 0.137
36.600, 0.134
36.700, 0.143
36.800, 0.140
36.900, 0.135
37.000, 0.129
37.100, 0.138
37.200, 0.147
37.300, 0.148
37.400, 0.141
37.500, 0.138
37.600, 0.151
37.700, 0.151
37.800, 0.146
37.900, 0.154
38.000, 0.142
38.100, 0.138
38.200, 0.147
38.300, 0.145
38.400, 0.144
38.500, 0.152
38.600, 0.153
38.700, 0.148
38.800, 0.149
38.900, 0.157
39.000, 0.142
39.100, 0.144
39.200, 0.140
39.300, 0.141
39.400, 0.142
39.500, 0.134
39.600, 0.135
39.700, 0.143
39.800, 0.138
39.900, 0.138
40.000, 0.139
40.100, 0.147
40.200, 0.143
40.300, 0.151
40.400, 0.136
40.500, 0.140
40.600, 0.135
40.700, 0.144
40.800, 0.131
40.900, 0.136
41.000, 0.143
41.100, 0.145
41.200, 0.147
41.300, 0.147
41.400, 0.141
41.500, 0.143
41.600, 0.155
41.700, 0.153
41.800, 0.146
41.900, 0.159
42.000, 0.155
42.100, 0.157
42.200, 0.162
42.300, 0.147
42.400, 0.151
42.500, 0.151
42.600, 0.151
42.700, 0.152
42.800, 0.152
42.900, 0.147
43.000, 0.152
43.100, 0.146
43.200, 0.152
43.300, 0.145
43.400, 0.153
43.500, 0.150
43.600, 0.155
43.700, 0.152
43.800, 0.158
43.900, 0.159
44.000, 0.151
44.100, 0.148
44.200, 0.140
44.300, 0.144
44.400, 0.152
44.500, 0.144
44.600, 0.142
44.700, 0.143
44.800, 0.140
44.900, 0.146
45.000, 0.158
45.100, 0.167
45.200, 0.149
45.300, 0.161
45.400, 0.159
45.500, 0.143
45.600, 0.153
45.700, 0.153
45.800, 0.144
45.900, 0.152
46.000, 0.155
46.100, 0.141
46.200, 0.145
46.300, 0.141
46.400, 0.152
46.500, 0.152
46.600, 0.144
46.700, 0.145
46.800, 0.154
46.900, 0.145
47.000, 0.159
47.100, 0.148
47.200, 0.154
47.300, 0.136
47.400, 0.161
47.500, 0.149
47.600, 0.149
47.700, 0.157
47.800, 0.152
47.900, 0.151
48.000, 0.142
48.100, 0.139
48.200, 0.157
48.300, 0.141
48.400, 0.152
48.500, 0.151
48.600, 0.155
48.700, 0.151
48.800, 0.154
48.900, 0.155
49.000, 0.161
49.100, 0.147
49.200, 0.156
49.300, 0.156
49.400, 0.157
49.500, 0.159
49.600, 0.159
49.700, 0.158
49.800, 0.153
49.900, 0.142
50.000, 0.147
50.100, 0.147
50.200, 0.138
50.300, 0.147
50.400, 0.145
50.500, 0.147
50.600, 0.151
50.700, 0.162
50.800, 0.150
50.900, 0.158
51.000, 0.155
51.100, 0.159
51.200, 0.163
