Time (ps), RMSD (nm)
35.300, 0.100
35.400, 0.086
35.500, 0.093
35.600, 0.094
35.700, 0.087
35.800, 0.085
35.900, 0.092
36.000, 0.085
36.100, 0.094
36.200, 0.094
36.300, 0.090
36.400, 0.092
36.500, 0.090
36.600, 0.090
36.700, 0.082
36.800, 0.089
36.900, 0.095
37.000, 0.087
37.100, 0.091
37.200, 0.098
37.300, 0.101
37.400, 0.109
37.500, 0.086
37.600, 0.088
37.700, 0.095
37.800, 0.094
37.900, 0.090
38.000, 0.096
38.100, 0.088
38.200, 0.095
38.300, 0.094
38.400, 0.089
38.500, 0.087
38.600, 0.095
38.700, 0.095
38.800, 0.088
38.900, 0.106
39.000, 0.089
39.100, 0.091
39.200, 0.088
39.300, 0.088
39.400, 0.095
39.500, 0.087
39.600, 0.096
39.700, 0.102
39.800, 0.095
39.900, 0.085
40.000, 0.091
40.100, 0.091
40.200, 0.085
40.300, 0.089
40.400, 0.097
40.500, 0.087
40.600, 0.097
40.700, 0.099
40.800, 0.101
40.900, 0.091
41.000, 0.094
41.100, 0.093
41.200, 0.081
41.300, 0.090
41.400, 0.088
41.500, 0.082
41.600, 0.086
41.700, 0.089
41.800, 0.078
41.900, 0.086
42.000, 0.083
42.100, 0.085
42.200, 0.079
42.300, 0.082
42.400, 0.094
42.500, 0.093
42.600, 0.083
42.700, 0.086
42.800, 0.082
42.900, 0.087
43.000, 0.090
43.100, 0.087
43.200, 0.083
43.300, 0.092
43.400, 0.086
43.500, 0.086
43.600, 0.089
43.700, 0.093
43.800, 0.084
43.900, 0.079
44.000, 0.090
44.100, 0.094
44.200, 0.082
44.300, 0.092
44.400, 0.106
44.500, 0.086
44.600, 0.100
44.700, 0.090
44.800, 0.087
44.900, 0.087
45.000, 0.082
45.100, 0.104
45.200, 0.092
45.300, 0.083
45.400, 0.088
45.500, 0.084
45.600, 0.084
45.700, 0.086
45.800, 0.084
45.900, 0.097
46.000, 0.087
46.100, 0.089
46.200, 0.083
46.300, 0.090
46.400, 0.079
46.500, 0.081
46.600, 0.092
46.700, 0.090
46.800, 0.093
46.900, 0.090
47.000, 0.095
47.100, 0.083
47.200, 0.091
47.300, 0.090
47.400, 0.097
47.500, 0.088
47.600, 0.084
