projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
0.601, -0.607
0.788, -1.075
0.694, -0.627
0.630, -0.630
0.477, -0.469
0.648, -0.421
0.685, -0.560
0.778, -0.855
0.788, -1.145
0.584, -0.752
0.275, -0.152
0.254, -0.077
0.573, -0.137
0.531, -0.909
0.636, -0.602
0.503, -0.901
0.470, -0.710
0.572, -0.884
0.458, -0.443
0.746, -0.615
0.640, -0.720
0.539, -0.460
0.600, -0.823
0.511, -0.809
0.761, -0.678
0.520, -0.975
0.735, -1.027
0.452, -0.947
0.751, -0.566
0.658, -0.588
0.814, -0.606
0.414, -0.425
0.277, -0.113
0.404, -0.673
0.421, -0.487
0.495, -0.222
0.473, -0.323
0.511, -0.615
0.623, -0.147
0.554, -0.302
0.491, -0.539
0.672, -0.417
0.576, -0.219
0.554, 0.156
0.639, -0.554
0.559, 0.172
0.563, -0.138
0.454, -0.375
0.681, -0.477
0.572, -0.630
0.636, -0.516
0.554, -0.492
0.806, -0.950
0.533, -0.507
0.552, -0.279
0.852, -1.054
0.594, -1.052
0.912, -0.963
0.674, -0.774
0.890, -1.070
0.843, -0.886
0.813, -0.966
0.662, -1.074
0.701, -0.899
0.434, -0.953
0.407, -1.053
0.603, -1.045
0.318, -0.968
0.553, -0.634
0.623, -1.064
0.516, -0.581
0.508, -0.721
0.865, -1.014
0.703, -0.578
1.196, -0.891
1.160, -1.115
0.889, -0.766
1.007, -0.430
0.854, -0.141
0.962, -0.504
0.859, -0.129
0.996, -0.253
0.888, -0.100
0.625, -0.200
0.687, -0.662
0.976, -0.637
0.705, -0.957
0.590, -1.038
0.730, -0.505
0.641, -0.355
0.994, -0.771
0.658, -0.155
0.855, 0.022
0.609, -0.093
0.622, -0.312
0.615, -0.344
0.588, -0.321
0.598, -0.373
0.797, -0.162
0.484, -0.504
0.372, -0.879
0.827, -0.755
0.629, -0.874
0.464, -0.507
0.640, -0.538
0.524, -0.473
0.897, -0.500
0.877, -0.947
0.859, -0.964
0.604, -1.197
0.692, -1.255
0.747, -1.237
0.848, -1.055
0.930, -1.045
0.929, -1.314
0.989, -1.259
1.032, -0.928
1.239, -1.096
1.088, -1.267
0.883, -1.132
0.872, -1.238
1.239, -0.841
0.914, -0.483
1.040, -0.476
0.745, -0.863
0.777, -0.464
0.643, -0.543
0.777, -0.768
0.641, -0.742
0.793, -0.780
0.805, -1.073
0.889, -0.651
0.617, -0.594
0.763, -0.625
1.049, -1.001
0.926, -0.739
0.829, -1.136
0.938, -1.148
0.961, -0.845
0.978, -1.211
0.938, -0.676
0.796, -0.842
0.811, -0.657
0.644, -0.397
0.749, -0.710
0.801, -0.865
0.892, -0.540
0.715, -0.155
0.695, -0.322
0.902, -0.493
0.724, -0.671
0.662, -0.580
0.932, -1.440
1.040, -0.903
0.785, -1.015
0.805, -0.869
0.769, -1.035
0.962, -1.090
0.906, -0.930
1.079, -1.611
1.077, -1.136
1.069, -1.044
0.869, -1.062
1.112, -1.203
0.864, -0.739
0.626, -0.659
0.501, -0.763
0.674, -0.808
0.551, -0.528
0.808, -0.594
0.634, -0.031
0.714, -0.115
0.676, -0.046
0.505, -0.145
0.447, 0.024
0.219, -0.458
0.358, -0.244
0.505, -0.253
0.443, -0.696
0.653, -0.642
0.772, -0.348
0.704, -0.240
0.539, -0.504
0.279, -0.234
0.475, -0.810
0.773, -0.826
0.356, -0.356
0.694, -0.564
0.645, -0.556
0.556, -1.179
0.894, -1.039
0.897, -0.692
0.882, -0.793
0.690, -0.725
0.772, -0.551
0.903, -0.925
0.779, -0.753
0.404, -0.624
0.846, -0.978
0.615, -0.422
0.555, -0.766
0.633, -0.846
0.788, -0.542
0.928, -0.951
0.801, -1.458
0.722, -1.388
0.551, -1.429
0.556, -0.868
0.659, -0.688
0.408, -0.784
0.733, -0.391
0.950, -0.432
0.757, -0.814
0.933, -0.751
0.506, -0.703
0.746, -0.925
