projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
0.037, -0.232
1.358, -1.467
1.717, -1.256
1.881, -0.736
1.888, -0.746
2.031, -1.042
1.883, -0.859
1.814, -0.608
1.759, -0.553
1.817, -0.297
1.650, -1.207
1.852, -0.797
1.927, -0.953
1.951, -0.891
1.703, -1.182
1.760, -0.935
1.785, -0.644
1.676, -1.040
1.752, -0.645
1.756, -0.966
1.860, -0.751
2.035, -0.658
1.828, -0.853
2.007, -0.717
1.815, -0.443
1.959, -0.600
1.680, -0.757
1.812, -1.190
2.117, -1.035
1.943, -0.382
2.068, -0.530
2.058, -0.178
2.063, -0.486
1.794, -0.489
1.661, -0.703
1.969, -0.695
1.937, -0.675
1.794, -0.815
1.882, -0.570
2.018, -0.394
1.860, -0.639
1.873, -0.239
1.899, 0.040
2.026, 0.050
1.597, -0.278
1.719, -0.648
1.877, -0.482
1.790, -0.739
1.902, -0.745
1.791, -0.595
2.012, 0.005
1.955, -0.372
1.987, -0.714
1.994, -0.624
1.930, -0.704
1.818, -0.477
2.306, -0.086
1.954, -0.726
1.965, -0.384
2.017, -0.511
1.759, -0.174
1.815, -0.138
1.746, -0.339
2.040, -0.205
2.046, -0.146
2.034, -0.128
2.232, -0.059
2.120, -0.118
2.281, 0.212
1.857, 0.025
1.919, -0.338
1.855, -0.479
1.921, -0.151
1.625, -0.593
1.846, -0.244
1.899, -0.239
1.969, -0.221
1.781, 0.137
1.846, 0.210
1.965, 0.165
1.779, -0.450
1.825, 0.176
1.894, -0.092
1.920, -0.195
1.935, 0.090
1.609, -0.093
1.637, -0.123
1.728, -0.533
1.759, -0.409
1.708, 0.128
1.862, 0.047
1.780, 0.180
2.081, 0.457
1.977, 0.131
1.929, 0.484
1.919, 0.415
2.088, 0.487
1.757, 0.292
1.842, -0.166
1.832, -0.169
2.029, 0.005
1.849, 0.110
1.320, 0.033
1.531, -0.046
1.571, 0.023
1.860, -0.004
1.676, -0.241
1.436, -0.162
1.526, -0.068
1.648, 0.142
1.720, 0.142
1.515, -0.219
1.586, -0.000
1.684, 0.024
1.457, -0.292
1.534, -0.520
1.700, -0.005
1.686, -0.559
1.880, 0.060
1.578, 0.070
1.523, -0.150
1.570, -0.195
1.610, -0.623
1.822, -0.012
1.666, -0.024
2.039, -0.327
1.672, -0.869
1.890, -0.510
1.990, -0.308
1.714, -0.330
1.546, -0.809
2.004, 0.132
1.537, -0.531
1.581, -0.754
1.489, -0.638
1.674, -0.311
1.708, -0.412
1.883, -0.053
1.773, -0.091
1.830, -0.516
2.004, -0.473
1.780, -0.585
1.721, -0.732
1.564, -0.521
1.687, -0.823
1.622, -0.898
1.858, -0.809
1.792, -0.865
1.608, -0.857
2.049, -0.315
2.150, -0.293
2.033, -0.332
1.942, -0.087
1.821, -0.473
1.940, -0.154
1.808, -0.015
1.781, -0.532
1.780, -0.620
1.594, -0.791
1.939, -0.286
1.750, -0.161
1.837, -0.197
1.974, 0.133
2.131, 0.039
2.223, -0.286
2.012, -0.667
1.965, -0.111
2.129, 0.233
1.979, -0.169
1.914, -0.562
1.830, -0.255
1.853, -0.584
1.785, -0.568
1.741, -0.780
1.941, -0.714
1.695, -1.124
1.849, -0.873
1.940, -1.077
1.791, -1.159
1.828, -1.213
1.444, -1.353
1.666, -1.599
1.710, -1.215
1.579, -1.402
1.934, -1.185
1.863, -1.302
1.819, -1.042
1.800, -0.855
1.970, -0.656
2.103, -0.436
2.024, -0.467
2.269, 0.262
2.466, -0.067
1.936, -0.798
2.040, -0.744
2.074, -0.446
1.997, -0.755
1.994, -1.101
2.291, -0.565
2.130, -0.091
2.115, -0.488
2.067, -0.097
1.957, -0.656
1.873, -0.666
1.837, -0.773
1.944, -0.510
1.851, -0.558
1.718, -0.537
1.538, -1.019
1.875, -0.677
1.693, -0.910
1.630, -1.081
1.480, -1.014
1.491, -0.980
1.850, -0.426
2.021, -0.166
2.069, -0.186
1.861, 0.556
1.537, -0.176
1.849, -0.371
1.457, -0.722
1.431, -1.044
1.487, -1.280
1.430, -1.398
1.366, -1.737
1.460, -2.079
1.654, -1.760
1.327, -1.754
1.291, -2.137
1.264, -1.576
1.394, -1.771
1.246, -2.034
1.282, -1.884
1.486, -2.048
1.439, -1.921
1.193, -2.412
1.296, -2.134
1.233, -2.112
1.527, -2.125
1.289, -1.880
1.623, -1.446
1.464, -1.727
1.646, -1.768
1.377, -1.990
1.291, -2.038
1.489, -2.288
1.449, -2.061
1.331, -1.870
1.571, -1.878
1.412, -2.098
1.288, -2.569
1.187, -2.348
1.352, -2.286
1.496, -2.073
1.372, -1.701
1.666, -1.738
1.608, -2.118
1.697, -1.823
1.719, -1.757
1.782, -1.641
1.943, -1.394
1.928, -1.183
1.908, -1.050
