projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.127, -0.291
-1.488, -0.181
-1.867, -0.133
-1.508, -0.008
-1.913, -0.092
-1.509, -0.160
-1.693, 0.048
-1.266, -0.179
-1.521, -0.431
-1.215, -0.729
-1.261, -0.928
-1.328, -0.665
-1.132, -0.524
-1.203, -0.656
-1.277, -0.245
-1.324, -0.231
-1.761, -0.134
-1.418, 0.175
-0.902, -0.616
-1.124, -0.567
-0.925, -0.264
-1.080, -0.402
-1.255, -0.110
-1.497, -0.402
-1.635, -0.120
-1.389, -0.258
-1.513, 0.093
-1.326, 0.223
-0.855, -0.085
-1.124, -0.515
-1.047, -0.469
-1.084, -0.507
-1.269, -0.169
-1.036, -0.316
-0.910, -0.561
-1.294, -0.282
-1.215, 0.039
-1.112, 0.006
-0.660, -0.344
-1.146, -0.027
-1.186, -0.050
-0.728, -0.442
-0.890, -0.547
-0.998, -0.516
-0.853, -0.229
-1.105, -0.252
-1.108, -0.198
-0.770, -0.594
-0.801, -0.372
-0.438, -0.292
-0.578, -0.008
-0.627, -0.101
-0.562, -0.316
-0.361, -0.708
-0.800, -0.206
-1.046, -0.005
-0.836, -0.255
-0.761, -0.107
-0.795, -0.475
-0.672, -0.562
-0.743, -0.142
-0.552, -0.203
-0.594, -0.326
-0.328, -0.628
-0.157, -0.969
-0.424, -0.674
-0.753, -0.673
-0.640, -0.600
-0.804, -0.822
-0.568, -0.987
-0.499, -1.190
-0.886, -0.875
-0.694, -0.772
-0.513, -0.942
-0.892, -0.612
-0.744, -0.820
-0.473, -0.908
-0.698, -0.323
-0.865, -0.350
-1.179, -0.103
-1.002, -0.155
-1.215, 0.070
-0.684, -0.032
-0.620, -0.130
-0.719, -0.574
-0.778, -0.501
-0.579, -0.696
-0.363, -0.556
-0.722, -0.351
-0.867, 0.139
-0.680, 0.005
-1.037, -0.134
-0.425, -0.346
-1.170, 0.132
-0.685, -0.312
-0.397, -0.286
-0.856, -0.376
-0.638, -0.577
-0.362, -0.400
-0.841, -0.752
-1.334, -0.433
-1.086, -0.300
-0.978, -0.232
-0.982, -0.402
-0.972, -0.314
-0.925, -0.340
-0.965, -0.236
-0.528, -0.446
-0.845, -0.453
-0.233, -0.598
-0.700, -0.661
-0.478, -0.552
-1.015, -0.405
-0.668, -0.453
-0.397, -0.531
-0.520, -0.185
-0.617, -0.364
-0.706, -0.387
-0.579, -0.417
-0.770, -0.141
-0.731, -0.219
-1.256, -0.022
-1.133, -0.115
-1.427, 0.511
-1.335, 0.170
-1.102, 0.326
-1.055, 0.116
