projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
0.723, 0.708
-0.952, -0.654
-0.604, -1.134
-0.962, -0.862
-0.591, -1.162
-1.124, -1.083
-0.874, -1.083
-0.461, -1.045
-0.389, -1.300
-0.601, -1.010
-0.405, -1.197
-0.632, -1.034
-1.015, -0.931
-0.937, -0.871
-0.808, -1.111
-0.491, -0.835
-0.546, -1.098
-0.361, -1.042
-0.581, -1.084
0.007, -1.321
-0.608, -1.217
-0.608, -1.254
-0.671, -1.230
-0.225, -1.468
-0.194, -1.262
-0.215, -1.253
-0.622, -1.156
-0.462, -1.323
-0.539, -1.148
-0.248, -1.139
-0.708, -1.169
-0.952, -0.976
-0.761, -1.232
-0.352, -1.445
0.248, -1.756
-0.331, -1.477
-0.286, -1.711
-0.688, -1.333
-1.116, -1.155
-1.338, -0.791
-0.864, -1.022
-0.984, -1.275
-0.869, -1.226
-0.404, -1.073
-0.423, -1.029
-0.221, -1.196
-0.431, -1.298
-0.333, -1.308
-0.093, -1.257
-0.475, -1.366
-0.383, -1.636
-0.464, -1.293
-0.211, -1.365
-0.440, -1.097
-0.483, -1.486
-0.451, -1.284
-0.469, -1.413
-0.699, -1.261
-0.664, -1.272
-0.937, -1.018
-0.827, -1.284
-1.152, -1.008
-0.721, -1.111
-0.862, -1.218
-0.077, -1.531
-0.694, -1.312
-0.478, -1.231
-0.442, -1.249
-0.568, -1.459
-0.436, -1.488
-0.497, -1.184
-0.822, -1.190
-0.818, -1.201
-0.963, -1.101
-0.805, -1.060
-0.729, -1.404
-0.783, -0.877
-1.151, -1.092
-1.190, -1.093
-1.096, -1.406
-0.996, -1.151
-0.883, -1.335
-1.003, -1.017
-1.283, -1.064
-1.124, -0.978
-1.145, -1.050
-1.144, -1.050
-1.321, -1.306
-1.193, -1.085
-1.145, -1.114
-1.102, -1.044
-0.805, -1.295
-0.483, -1.428
-1.068, -1.288
-1.067, -0.875
-0.501, -1.362
-0.932, -0.920
-0.758, -0.966
-0.807, -1.006
-0.741, -1.241
-0.905, -0.807
-0.891, -1.262
-1.335, -0.924
-1.399, -1.038
-1.330, -0.588
-0.873, -1.118
-0.859, -1.210
-1.024, -1.103
-0.695, -1.141
-0.889, -1.506
-0.867, -1.261
-1.050, -1.148
-0.571, -1.169
-0.758, -1.522
-0.457, -1.693
-0.402, -1.628
-0.338, -1.504
-0.415, -1.532
-0.510, -1.473
-1.241, -0.949
-0.894, -1.168
-0.607, -1.409
-0.850, -1.414
-0.995, -1.107
-0.722, -1.428
-0.987, -1.061
-1.471, -0.996
-1.661, -0.777
